oja_companyname,replace_with,keywords,exact,butnot,country,
"25,""hash""",hash,hash,,,IT,
"26,""innovative_management_services_s.r.l.""",innovative_management_services,innovative_management_services,ims,,IT,
"27,""ferrovie_dello_stato""",ferrovie,ferrovie,,,IT,
"28,""dentalpro""",dentalpro,dentalpro,,,IT,
"29,""atos""",atos,atos_italia|atos_se,atos,,IT,
"31,""lenergia_s.p.a.""",lenergia,lenergia,,edilenergia,IT,
"32,""inventacpm_s.r.l.""",inventa,inventa,,,IT,
"33,""sicuritalia_spa""",sicuritalia,sicuritalia,,,IT,
"37,""fondazione_patrizio_paoletti""",paoletti,patrizio_paoletti,,,IT,
"38,""bennet""",bennet,bennet,,,IT,
"44,""construfy""",construfy,construfy,,,IT,
"45,""esselunga""",esselunga,esselunga,,,IT,
"49,""centri_vitaldent""",vitaldent,vitaldent,,,IT,
"50,""optima_italia_spa""",optima,optima,,optimal|optima_solutions|optima_uk,IT,
"51,""amadori""",amadori,amadori,,,IT,
"52,""geox""",geox,geox,,,IT,
"53,""kasanova""",kasanova,kasanova,,,IT,
"57,""nifra_srl""",nifra,nifra_s|nifrasrl,nifra,,IT,
"58,""technogym""",technogym,technogym,,,IT,
"62,""gruppo_pam""",pam,gruppo_pam|gruppopam|gruppo-pam,pam,,IT,
"65,""compagnia_generale_ristorazione_spa""",generale_ristorazione,generale_ristorazione|generaleristorazione|generale-ristorazione|cigierre,,,IT,
"69,""atm""",atm_it,atm,atm,,IT,
"70,""bimbo_store""",bimbo_store,bimbo_store|bimbostore|bimbo-store,,,IT,
"72,""mondo_convenienza""",mondo_convenienza,mondo_convenienza|mondoconvenienza|mondo-convenienza,,,IT,
"73,""perpiù""",perpiu,perpi,,,IT,
"76,""goldenpoint_s.p.a""",goldenpoint,goldenpoint,,,IT,
"77,""kiko""",kiko,kiko,,akiko|ikiko,IT,
"78,""cartorange_srl""",cartorange,cartorange,,,IT,
"79,""simply_market""",simply_market,simply_market|simplymarket|simply-market,,,IT,
"81,""famila""",famila,famila,,,IT,
"84,""stroili_oro""",stroili,stroili,,,IT,
"87,""ld_market""",ld_market,ld_market|ldmarket|ld-market,,field|marketing|world,IT,
"88,""gruppo_fidelitas_s.p.a.""",fidelitas,fidelitas,,,IT,
"92,""md_spa""",md,md_spa|mdspa|md-spa,md,,IT,
"93,""peter_pan_entertainment""",peter_pan,peter_pan|peterpan|peter-pan,,scuola,IT,
"105,""supermercati_tosano""",tosano,tosano,,,IT,
"107,""radar_business_academy_-_school_of_management""",radar_business,radar_business|radarbusiness|radar-business|radar_academy,radar,,IT,
"108,""culligan_spa""",culligan,culligan,,,IT,
"109,""esprimo_srl""",esprimo,esprimo,,,IT,
"110,""itconsulting_srl""",itconsulting,itconsulting,,,IT,
"111,""penny_market""",penny,penny,,,IT,
"112,""globo_moda""",globo_moda,globo,,,IT,
"113,""milano_executive_search""",milano_executive,milano_executive|milanoexecutive|milano-executive,,,IT,
"115,""salmoiraghi_e_viganò""",salmoiraghi,salmoiraghi,,,IT,
"116,""niuma_srl""",niuma,niuma,,,IT,
"117,""open_source_management""",open_source_management,open_source_m|osm_network|osmnetwork|osm-network,,,IT,
"118,""iscs_srls""",iscs,iscs,,,IT,
"119,""best_option_media""",best_option,best_option|bestoption|best-option,,,IT,
"120,""gls_corriere_espresso""",gls_corriere,gls_corriere|glscorriere|gls-corriere,gls,,IT,
"123,""scai""",scai_spa|gruppo_scai,scai,,,IT,
"127,""carpisa""",carpisa,carpisa,,,IT,
"128,""om_group""",om_group,om_group|omgroup|om-group,,tom_group|com_group,IT,
"129,""wiener_haus""",wiener,wiener,,,IT,
"130,""eataly""",eataly,eataly,,,IT,
"131,""kiron_partner_s.p.a.""",kiron,kiron,,,IT,
"132,""obi_italia""",obi,obi_italia,obi,,IT,
"133,""consoft_informatica_srl""",consoft,consoft,,consoftware,IT,
"134,""cronoshare.com""",cronoshare,cronoshare,,,IT,
"135,""eterea_srl""",eterea,eterea,,,IT,
"136,""iper""",ipermercati_iper,ipermercati_iper|ipermercati-iper|ipermercatiiper,iper,,IT,
"137,""wycon_spa""",wycon,wycon,,,IT,
"138,""gigante""",gigante,gigante,,piazza,IT,
"139,""grandvision_italy_s.r.l.""",grandvision,grandvision,,,IT,
"141,""metro""",metro,metro_ag|metro_group,metro,,IT,
"142,""old_wild_west""",old_wild_west,old_wild_west|oldwildwest|old-wild-west,,,IT,
"143,""gardaland""",gardaland,gardaland,,,IT,
"144,""iqvia""",iqvia,iqvia,,,IT,
"145,""scarpe_&_scarpe""",scarpe,scarpe_&_scarpe,,,IT,
"150,""eurospin""",eurospin,eurospin,,,IT,
"153,""24ore_business_school""",24ore,24ore,,oro24ore,IT,
"155,""natura_si""",natura_si,natura_si|naturasi|natura-si,,,IT,
"159,""la_rinascente_spa""",rinascente,rinascente,,,IT,
"161,""spindox_spa""",spindox,spindox,,,IT,
"162,""a.s.d._toptour""",toptour,toptour,,,IT,
"163,""bticino_spa""",bticino,bticino,,,IT,
"166,""gruppo_fe.ma""",fema,fe.ma|gruppo_fema|gruppo-fema|gruppo_fema,fema,ferma,IT,
"168,""liquigas_spa""",liquigas,liquigas,,,IT,
"169,""maxi_zoo_italia_spa""",maxi_zoo,maxi_zoo|maxizoo|maxi-zoo,,,IT,
"171,""lovable""",lovable,lovable,,,IT,
"172,""number_one_srl""",number_one,number_one|numberone|number-one,,,IT,
"173,""ovs_spa""",ovs_spa,ovs_spa|ovs-spa|ovsspa,ovs,,IT,
"175,""tigros_s.p.a.""",tigros,tigros,,,IT,
"176,""agripiù""",agripi,agripi,,,IT,
"179,""despar""",despar,despar,,,IT,
"180,""my_chef_ristorazione_commerciale""",my_chef,my_chef|mychef|my-chef,,sabik,IT,
"184,""action_ict_srl""",action_ict,action_ict|action-ict|actionict,,,IT,
"186,""berner_spa""",berner,berner,,pizzeria_berner,IT,
"188,""dmail""",dmail,dmail,,,IT,
"190,""l'arte_di_abitare""",arte_di_abitare,arte_di_abit|artediabit|arte-di-abit,,,IT,
"195,""art_swiss_entertainment""",art_swiss,art_swiss|artswiss|art-swiss,,,IT,
"196,""bureau_veritas""",veritas,bureau_veritas|bureauveritas|veritas_spa,,,IT,
"197,""italo""",italo,italo_spa|italospa|italo-spa,italo,,IT,
"198,""lutech_spa""",lutech,lutech,,,IT,
"199,""roadhouse""",roadhouse,roadhouse,,,IT,
"201,""piazza_italia_spa""",piazza_italia,piazza_italia|piazzaitalia|piazza-italia,,,IT,
"204,""percassi""",percassi,percassi_management,percassi,,IT,
"206,""cpl_&_taylor""",taylor,taylor,,amp|hopkinson|evans|root,IT,
"208,""poste_italiane_spa""",poste_italiane,poste_italiane|poste-italiane|posteitaliane,poste,,IT,
"209,""unieuro""",unieuro,unieuro,,,IT,
"212,""salcom_s.r.l.""",salcom,salcom,,,IT,
"215,""avangarde_consulting_s.r.l.""",avangarde,avangarde,,,IT,
"216,""baker_hughes""",hughes,hughes,,linguistico,IT,
"218,""dpv_s.p.a""",dpv_spa,dpv_spa|dpvspa|dpv-spa,dpv,,IT,
"220,""w_srl""",w_srl,nosearchbykeywordhere,w_srl,,IT,
"224,""lush""",lush_italia,lush_italia|lushitalia|lush-italia|lushsrl|lush-srl|lush_srl,lush,,IT,
"225,""bep's""",beps,bep's|beps,bep,,IT,
"226,""dentista.tv""",dentista,dentista.tv,dentista,,IT,
"227,""arco-group""",arco_group,arco-group|arco_group|arcogroup,arco,marco,IT,
"232,""top_animation_team""",top_animation,topanimation|top_animation|top-animation,,,IT,
"233,""txt_e-solutions_spa""",txt_esolutions,txt_e|txt-e|txtesolu,,,IT,
"234,""gsk""",gsk,gskspa|gsk_spa|gsk-spa,gsk,,IT,
"235,""iperal_supermercati_s.p.a.""",iperal,iperal,,,IT,
"236,""mediatica_s.p.a.""",mediatica,mediatica,,,IT,
"237,""service_tcf""",service_tcf,service_tcf|service-tcf|service_tcf,tcf,,IT,
"241,""myevents_italia_asd""",myevents,myevents,,,IT,
"243,""atmen_s.r.l.""",atmen,atmen,,treatment,IT,
"246,""no_problem_srl""",no_problem,no_problem|no-problem|noproblem,,,IT,
"251,""european_organisational_research_group_ltd""",organisational,organisational,,,IT,
"252,""gesfor_srl""",gesfor,gesfor,,,IT,
"254,""nau_spa""",nau_spa,nau_spa|nauspa|nau-spa,nau,,IT,
360imprimir,360imprimir,360imprimir,,,PT,
accenture,accenture,accenture,,,PT,
adentis,adentis,adentis,,,PT,
adidas,adidas,adidas,,,PT,
agap2_it,agap2_it,agap2_it|agap2it,,,PT,
alter_solutions_portugal,alter_solutions,alter_solutions|alter_solutions_portugal,,,PT,
altran,altran,altran,,lunardiagonaltransporteslda,PT,
amaris,amaris,amaris,,,PT,
ankix,ankix,ankix,,,PT,
arvato_bertelsmann,arvato_bertelsmann,arvato_bertelsmann,,,PT,
askblue,askblue,askblue,,,PT,
aubay,aubay,aubay|aubay_portugal,,,PT,
grupo_auchan,auchan,auchan|grupo_auchan,,mcdonald's_maia_auchan,PT,
autovision,autovision,autovision,,,PT,
axians,axians,axians,,,PT,
babysitsorg,babysitsorg,babysitsorg,,,PT,
bee_engineering,bee_engineering,bee_engineering,,,PT,
bnp_paribas,bnp_paribas,bnp_paribas|bnp_paribas_2|bnp_paribas_corporate_&_institutional_banking,,,PT,
bosch,bosch,bosch|bosch_group,,robert_bosch_spa|robert_bosch_llc,PT,
cisco,cisco,cisco|cisco_systems_inc|cisco_careers , cisco_systems|cisco_portugal,cisco,,PT
claranet,claranet,claranet|claranet_portugal,,,PT,
clds_3g_mirandela,clds_3g,clds_3g|clds_3g_mirandela,,,PT,
closer,closer,closer,closer,,PT,
cocus,cocus,cocus,,,PT,
cognizant,cognizant,cognizant,,,PT,
connecta_group,connecta_group,connecta_group,,,PT,
contract_pharmaceuticals_limited,contract_pharmaceuticals,contract_pharmaceuticals|contract_pharmaceuticals_limited,,,PT,
convatec,convatec,convatec,,,PT,
decskill,decskill,decskill|_tecnologias_de_informacao decskill_,,,PT,
discovery_hotel_management,discovery_hotel,discovery_hotel_management,,,PT,
dixtior_consulting,dixtior_consulting,dixtior_consulting,,,PT,
dms,dms,dms,dms,,PT,
_dmsti desarrollo_de_medios_y_sistemas_portugal_,dmsti,dmsti|_dmsti desarrollo_de_medios_y_sistemas_portugal_,,,PT,
easy_gest,easy_gest,easy_gest|easygest,,,PT,
facing_lda,facing,facing|facing_lda,,,PT,
farfetch,farfetch,farfetch|farfetch_uk_limited,,,PT,
_farmacias farmacias_holon_,farmacias_holon,farmacias_holon|_farmacias farmacias_holon_,,,PT,
faurecia,faurecia,faurecia,,,PT,
feedzai,feedzai,feedzai,,,PT,
ferrovial_servicos_sa,ferrovial_servicos,ferrovial_servicos|ferrovial_servicos_sa,,,PT,
fujitsu,fujitsu,fujitsu,,,PT,
futurcabo,futurcabo,futurcabo,,,PT,
growin,growin,growin,,growininsights|growing4ward,PT,
grupo_casais,grupo_casais,grupo_casais,,,PT,
grupo_venda_proactiva,grupo_venda_proactiva,grupo_venda_proactiva,,,PT,
grupo_visabeira,grupo_visabeira,visabeira|grupo_visabeira,,,PT,
hccm_consulting,hccm_consulting,hccm_consulting|hccm_consulting_sa,,,PT,
hitachi_vantara,hitachi_vantara,hitachi_vantara,,,PT,
hovione,hovione,hovione,,,PT,
hywel_dda_university_health_board,hywel_dda_university_health_board,hywel_dda_university_health_board,,,PT,
ibersol_restauracao_sa,ibersol_restauracao,ibersol_restauracao|ibersol_restauracao_sa,,,PT,
infineon_technologies,infineon_technologies,infineon_technologies,,,PT,
innotech,innotech,innotech,,,PT,
innowave_technologies_sa,innowave_technologies,innowave_technologies|innowave_technologies_sa,,,PT,
inoweiser,inoweiser,inoweiser,,,PT,
insignare,insignare,insignare,,,PT,
integer_consulting,integer_consulting,integer_consulting,,,PT,
intelcia_portugal,intelcia,intelcia|intelcia_portugal,,,PT,
interdomicilio_odivelas,interdomicilio,interdomicilio|interdomicilio_odivelas|interdomicilio_portugal,,,PT,
iqvia,iqvia,iqvia,,,PT,
it_people_innovation,it_people_innovation,it_people_innovation,,,PT,
itseeds,itseeds,itseeds,,,PT,
j_&_r_alexandre_lda,j_&_r_alexandre_lda,j_&_r_alexandre_lda,,,PT,
kcs_it,kcs_it,kcs_it,,,PT,
konecta_portugal_lda,konecta,konecta|konecta_portugal_lda,,,PT,
lidl,lidl,lidl,,,PT,
majorel,majorel,majorel|majorel_iberia,,,PT,
manvia_sa,manvia,manvia|manvia_sa,,,PT,
marriott,marriott,marriott,,,PT,
mercedes_benz,mercedes_benz,mercedes_benz,,,PT,
microsoft,microsoft,microsoft,,,PT,
mind_source,mind_source,mind_source,,,PT,
natixis_portugal,natixis,natixis|natixis_portugal,,,PT,
nbcc,nbcc,nbcc|nbcc_consulting,,,PT,
nestle,nestle,nestle,,,PT,
noesis,noesis,noesis|_consultadoria_em_sistemas_de_informacao_sa noesis_portugal_|noesis_portugal|noesis_portugal_sa,,,PT,
novabase,novabase,novabase,,,PT,
pluricall,pluricall,pluricall,,,PT,
premium_green_mail,premium_green_mail,premium_green_mail,,,PT,
primeit,primeit,primeit,,,PT,
prio_energy,prio_energy,prio_energy,,,PT,
prosegur_alarmes_dissuasao_portugal_unipessoal_lda,prosegur,prosegur|prosegur_alarmes_dissuasao_portugal_unipessoal_lda,,,PT,
prozis,prozis,prozis,,,PT,
reditus,reditus,reditus,,sandraredituslt,PT,
reloading,reloading,reloading,,,PT,
remax_top_penafiel,remax,remax|remax_top_penafiel,,,PT,
rumos,rumos,rumos,,seguir_rumos_lda|arrumos_decoracao_de_interiores|arrumos_dedicated_woodworking_&_carpentry|edurumos|rumos_e_resumos_lda|rumos_em_marcha_lda|rumos_servicos_ti|,PT,
salesland,salesland,salesland,,_pais_vasco salesland_,PT,
securitas_direct,securitas_direct,securitas_direct| securitas_direct_portugal_lda|securitas_direct_portugal_unip_lda,, _ventas securitas_direct_españa_sau_ | _comercial_y_ventas securitas_direct_ | securitas_direct_by_verisure | _zona_centro securitas_direct_españa_sau__,PT,
serlima,serlima,serlima,,,PT,
shore,shore,shore,,nearshore_portugal|asm_offshore_sa|asm_offshore_sa|a_silva_matos_offshore||asm_offshore_sa|mhi_vestas_offshore_wind_a|nearshore_agile_ver_empresa|wavec_offshore_renewables,PT,
siemens,siemens,siemens|siemens_ag|siemens_sa,,,PT,
smart_consulting,smart_consulting,smart_consulting,,,PT,
softinsa,softinsa,softinsa,,,PT,
solidnetworks,solidnetworks,solidnetworks,,,PT,
solvay,solvay,solvay,,,PT,
sonae,sonae,sonae,,,PT,
staples,staples,staples,,,PT,
superprof,superprof,superprof,,,PT,
synopsys,synopsys,synopsys|synopsys_inc,,,PT,
syone,syone,syone,,,PT,
sysmatch,sysmatch,sysmatch|_consultores_de_sistemas_de_informacao sysmatch_|sysmatch_it_consulting,,,PT,
talkdesk,talkdesk,talkdesk|talkdesk_inc,,,PT,
teleperformance_portugal,teleperformance,teleperformance|teleperformance_portugal,,,PT,
telepizza_portugal,telepizza,telepizza|telepizza_portugal|telepizza_portugal_sa,,,PT,
thales_group,thales,thales,,,PT,
trofa_saude,trofa_saude,trofa_saude|trofa_saude_hospital,,,PT,
uber,uber,uber,,_babe_nbergerhof_rosenberger_gruber_|behandlingshjemmet_cm_schuberts_minde|bussula_exuberante_lda|clauberg_&_filhos_lda|delivery_and_technical_inputs_from_huber+suhner_ag||evidenceliciousuberlda|exuberesboco_unipessoal_lda|exuberminuto|exubersaturn_lda|guber_domus_lda|huber+suhner|_huber+suhner_ag project_manager_rf(r&d)_ |schubergs_gräv_&_schakt_ab|stift_neuberghska_ålderdomshemmet|uberaopapalda,PT,
veigas_portugal,veigas_portugal,veigas_portugal,,,PT,
vestas,vestas,vestas,,mhi_vestas_offshore_wind_a,PT,
viatel,viatel,viatel,,,PT,
webhelp,webhelp,webhelp|webhelp_portugal,,,PT,
wide_scope,wide_scope,wide_scope,,,PT,
winprovit,winprovit,winprovit|_solucoes_inteligentes winprovit_,,,PT,
worten,worten,worten,,,PT,
zaask,zaask,zaask,,,PT,
"1,""secretariatul_general_al_guvernului""",SGG,secretariatul_general|guvernului_secretariatul,,,RO,
"2,""continental""",continental,continental,,automotive|tma_transcontinental_srl|osram_continental|continental_automotive_group_romania|sc_continental_automotive_products_srl|continental_automotive_sibiu|continental_automotive_systems_srl|continental_powertrain_romania,EU,
"4,""oracle""",oracle,oracle,,,EU,
"5,""aconex""",aconex,aconex,,,EU,
"6,""netsuite_inc.""",netsuite,netsuite,,,RO,
"8,""ing_investment_banking""",ing_group,ing_investment_banking|ing_bank,ing_romania|ing|ing_group,salesconsulting|societe_generale_private_banking|inter-consulting_europe_(uk)_ltd|spring_professional|spring_professional_portugal|huxley_banking_&amp|,EU,
"10,""accenture""",accenture,accenture,,,EU,
"13,""honeywell""",honeywell,honeywell|honeywell_intelligrated|honeywell_international_inc,,,EU,
"14,""orange""",orange,orange_business_services|orange_romania_sa,orange,,EU,
"15,""genpact""",genpact,genpact,,,RO,
"16,""lugera""",lugera,lugera,,,RO,
"18,""sne""",sne,sne_europe,sne,waldmessner_invest_srl|klousner|marsner_technologies_srl|asnet|freigassner_roman|grossner_trading_srl|mariusnes1968|mihai_bosneanu|sneja|thuasne|transnelcar_iv-_transnporte_de_mercadorias,RO,
"19,""microsoft""",microsoft,microsoft,,,EU,
"20,""emerson""",emerson,emerson,,,RO,
"22,""ubisoft""",ubisoft,ubisoft_entertainment,ubisoft,,EU,
"23,""atos""",atos,atos_it|atos_convergence,atos,,RO,
british_american_tobacco,british_american_tobacco,british_american_tobacco,,,EU,
"25,""endava""",endava,endava,endava,,RO,
"26,""societe_generale""",societe_generale,societe_generale,,,EU,
"28,""kaufland""",kaufland,kaufland,,,EU,
"29,""luxoft""",luxoft,luxoft,,,RO,
"31,""finastra""",finastra,finastra,,,RO,
"32,""dell_technologies""",dell,dell_tech|dell_int,dell,sabadell|dellent_consulting|wardell_armstrong|asociatia_arte_dell`_anima|dellent|asociatia_arte_dell'anima|banco_sabadell|business_modelling_associates_uk_ltd,EU,
"37,""hewlett_packard_enterprise""",HP_enterprise,hewlett|hp_,hp,mhp_|ghp_|ahp_|php_|tower_one,EU,
"38,""e.on""",eon,eon_energ|eon_servicii|eon_dialog,eon|eon_se|eon_romania,,RO,
"39,""greenlee_textron_inc""",greenlee_textron,greenlee_textron,,,EU,
"40,""honeywell_international_inc""",honeywell,honeywell|honeywell_intelligrated,,,EU,
"41,""vauban""",vauban,vauban,,,EU,
"42,""red_-_the_global_sap_solutions_provider""",red_Global_SAP_solutions_provider,Global_SAP_solutions_provider,,,RO,
"43,""salesconsulting""",salesconsulting,salesconsulting,,,RO,
"45,""electronic_arts""",electronic_arts,electronic_arts,,,RO,
"46,""veeam""",veeam,veeam,,,RO,
"48,""skillvalue""",skillvalue,skillvalue,,,RO,
"49,""emag""",emag,emagro|emag_ro,emag,emagine|kronemag_millenium|tremag_sa,RO,
"50,""hrs_romania""",hrs_romania,hrs_romania,,,RO,
"51,""nxp_semiconductors""",nxp_semiconductors,nxp_semiconductors,,,EU,
"52,""ntt_data""",ntt_data,ntt_data,ntt,,RO,
"53,""raiffeisen_bank""",raiffeisen,raiffeisen_bank,,,EU,
"55,""pepsico""",pepsico,pepsico,pepsi,,RO,
"57,""amazon""",amazon,amazon,,bioamazon-frutas_e_polpas,_lda|tg_amazon_team_srl|amazonen_werke|amazon_flex_es,
"58,""orange_business_services""",orange_business_services,orange_business_services,,,EU,
"59,""gameloft""",gameloft,gameloft,,,RO,
"62,""molson_coors_brewing_company""",molson_coors_brewing_company,molson_coors_brewing_company,,,EU,
"63,""sales_consulting""",sales_consulting,sales_consulting,,,RO,
"64,""micro_focus""",micro_focus,micro_focus,,,RO,
"66,""auchan_romania""",auchan_romania,auchan,,,RO,
"67,""siemens_ag""",siemens,siemens,,,EU,
"69,""emerson_electric_co""",emerson_electric,emerson,,,EU,
"70,""thales_group""",thales,thales_group,,,EU,
"71,""paddy_power_betfair""",paddy_power_betfair,paddy_power_betfair,,,EU,
"76,""bosch""",bosch,bosch_service_solutions_srl|bosch_service_solutions_srl|bosch_group|robert_bosch_gmbh|bosch_service_solutions,bosch,bochismugurel_transport.srl,EU,
"78,""luxoft_romania""",luxoft,luxoft,,,RO,
"79,""lajumate""",lajumate,lajumate,,,RO,
"80,""ubisoft_entertainment""",ubisoft,ubisoft_entertainment,,,EU,
"81,""deutsche_bank_ag""",deutsche_bank_ag,deutche_bank,,,EU,
"83,""leroy_merlin""",leroy_merlin,leroy,,,RO,
"85,""ihs_markit""",ihs_markit,ihs_markit|ihsmarkit,ihs,,RO,
"86,""ptc""",ptc,ptc_ro|ptc_int,ptc,,RO,
"88,""axway""",axway,axway,,,EU,
"89,""ericsson""",ericsson,ericsson,,,EU,
"90,""sg_european_business_services""",sg_european_business_services,sg_european_business,,,EU,
"91,""vauban""",vauban,vauban,,,EU,
"93,""precision_system_design,_inc.""",precision_system_design,precision_system_design,,,EU,
"94,""abc_human_capital""",abc_human_capital,abc_human,abc,,RO,
"95,""procter_&_gamble""",procter_&_gamble,procter,,,EU,
"96,""adobe_systems_incorporated""",adobe_systems_incorporated,adobe_systems,,,EU,
"97,""millercoors""",millercoors,millercoors,,,EU,
"100,""oficina_de_treball_del_soc""",oficina_de_treball_del_soc,oficina_de_treball_del,,,EU,
"101,""bitdefender""",bitdefender,bitdefender,,,RO,
"103,""oracle_romania""",oracle_romania,oracle,,,RO,
"104,""amaris""",amaris,amaris,,gd_damaris_construct_srl ,RO,
"107,""politia_romana""",politia_romana,politia,,,RO,
"108,""next_ventures_ltd""",next_ventures_ltd,next_ventures,,,EU,
"109,""teamland""",teamland,teamland,,,RO,
"111,""molson_coors""",molson_coors,molson,,,EU,
"114,""jysk""",jysk,jysk,,,EU,
"115,""leoni""",leoni,leoni,,,RO,
"116,""visionaire_partners""",visionaire_partners,visionaire,,,RO,
"118,""allianz_technology""",allianz_technology,allianz,,,EU,
"119,""schlumberger""",schlumberger,schlumberger,,,EU,
"120,""nxp""",nxp,nxp,,,RO,
"121,""michelin_romania""",michelin_romania,michelin,,,RO,
"122,""pentalog_sa""",pentalog_sa,pentalog,,,RO,
"123,""deloitte_romania""",deloitte_romania,deloitte,,,RO,
"124,""adp""",adp,automatic_data_processing|adp_ro|adp_int,adp,,RO,
"125,""aiesec_in_romania""",aiesec,aiesec,,,EU,
"126,""amber_studio""",amber_studio,amber,amber,,RO,
"127,""cognizant_softvision""",cognizant_softvision,cognizant,,,RO,
"128,""ibm""",ibm,ibm_,ibm,luctibmar_trans_srl,EU,
