oja_companyname,replace_with,keywords,exact,butnot,country,
"6,""generali_italia_s.p.a.""",generali,generali_italia|assicurazioni_generali|generali_group,generali,,EU,
"15,""accenture""",accenture,accenture,,,EU,
"17,""verisure_italy""",verisure,verisure,,,EU,
"18,""amazon""",amazon,amazon,,,EU,
"19,""lidl""",lidl,lidl,,,EU,
"21,""kering""",kering,kering,,,EU,
"35,""deloitte""",deloitte,deloitte,,,EU,
"36,""carrefour""",carrefour,carrefour,,,EU,
"40,""iada_-_italian_automotive_dealer_association""",iada,iada,,piada|giada|riada|viada,EU,
"41,""ikea""",ikea,ikea,,,EU,
"43,""ig_samsic_hr""",samsic,samsic,,,EU,
"46,""aizoon""",aizoon,aizoon,,,EU,
"47,""kritek,_s.r.o.""",kritek,kritek,,,EU,
"48,""yamamay""",yamamay,yamamay,,,EU,
"54,""sephora""",sephora,sephora,,,EU,
"56,""barilla""",barilla,barilla,,,EU,
"59,""kpmg""",kpmg,kpmg,,,EU,
"60,""yves_rocher""",yves,yves,,,EU,
"63,""sanofi""",sanofi,sanofi,,,EU,
"64,""footlocker""",footlocker,footlocker,,,EU,
"66,""volkswagen""",volkswagen,volkswagen,,,EU,
"67,""coca_cola""",coca_cola,coca_cola|cocacola|coca-cola,,,EU,
"68,""bnp_paribas""",paribas,paribas,,,EU,
"71,""burger_king""",burger_king,burger_king|burgerking|burger-king,,,EU,
"74,""norauto""",norauto,norauto,,,EU,
"75,""desigual""",desigual,desigual,,,EU,
"80,""unicredit_srl""",unicredit,unicredit,,nocera|fabio,EU,
"82,""swatch""",swatch,swatch,,,EU,
"83,""philmark_group""",philmark,philmark,,,EU,
"86,""calzedonia""",calzedonia,calzedonia,,,EU,
"89,""accor_hotels""",accor,accor,,accord|accors,EU,
"90,""thermo_fisher_scientific""",thermo_fisher,thermo_fisher|thermofisher|thermo-fisher,,,EU,
"91,""wells_fargo""",fargo,fargo,,,EU,
"94,""bricocenter""",bricocenter,bricocenter,,,EU,
"95,""euromec2""",euromec2,euromec2,,,EU,
"96,""intesa_san_paolo""",intesa,intesa,,,EU,
"97,""msc_crociere""",msc_crociere,msc_crociere|msccrociere|msc-crociere,msc,,EU,
"98,""brembo""",brembo,brembo,,reti,EU,
"99,""mediaworld_s.p.a""",mediaworld,mediaworld,,,EU,
"100,""ferrero""",ferrero,ferrero,,perizie,EU,
"103,""maisons_du_monde_spa""",maisons_du_m,maisons,,des_maisons,EU,
"104,""pwc""",pwc,pwc,,,EU,
"106,""automobili_lamborghini_holding_spa""",lamborghini,lamborghini,,motorsport,EU,
"121,""poltrone_e_sofa""",poltrone_e_sofa,poltrone_e_sofa|poltroneesofa|poltrone-e-sofa,,poltrone-e-sofa,EU,
"124,""decathlon_italia_s.r.l.""",decathlon,decathlon,,,EU,
"125,""golden_lady_spa""",golden_lady,golden_lady|goldenlady|golden-lady,,,EU,
"140,""leroy_merlin""",leroy,leroy,,,EU,
"147,""virgin_active_italia_spa""",virgin,virgin_a,virgin,,EU,
"148,""dainese""",dainese,dainese,,dainese_s.r.l,EU,
"149,""deichmann""",deichmann,deichmann,,,EU,
"152,""prima_donna""",prima_donna,prima_donna|primadonna|prima-donna,,,EU,
"154,""leroy_merlin_spa""",leroy,leroy,,toitures,EU,
"156,""amaris""",amaris,amaris,,,EU,
"157,""best_western""",best,best_western|best-western|bestwestern,,,EU,
"158,""clayton_italia""",clayton,clayton,,,EU,
"164,""verisure""",verisure,verisure,,,EU,
"165,""futurenergy_rinnovabile_srl""",futurenergy,futurenergy,,,EU,
"167,""l'occitane_en_provence""",occitane,occitane,,,EU,
"177,""apple_spa""",apple,apple,,,EU,
"181,""autogrill_spa""",autogrill,autogrill,,,EU,
"182,""bricoman""",bricoman,bricoman,,,EU,
"191,""starbucks""",starbucks,starbucks,,,EU,
"192,""fincantieri_s.p.a""",fincantieri,fincantieri,,,EU,
"214,""marriott""",marriott,marriott,,,EU,
"217,""deliveroo""",deliveroo,deliveroo,,,EU,
"228,""martini_&_rossi""",martini,martini_&_rossi|martini&rossi,,,EU,
"229,""alstom""",alstom,alstom,,,EU,
"242,""siemens_ag""",siemens,siemens,,,EU,
"245,""nestlé""",nestl,nestl,,,EU,
"1,""axcent""",axcent,axcent,,,IT,
"2,""sida_group""",sida,sida_group,sida,,IT,
"3,""green4you_srls""",green4you,green4you|green_for_you|green-for-you,,,IT,
"4,""nexus""",nexus,nexus,,nexusnet|nexusway,IT,
"5,""fincons_spa""",fincons,fincons,,finconsult|luisaviaroma,IT,
"7,""akka_technologies""",akka,akka,,sakkal,IT,
"8,""sapiens_spa""",sapiens,sapiens,,srl,IT,
"10,""alten_italia_spa""",alten,alten,,altenbetreuung|altenna|am_alten|altenda|alteni|altenh,IT,
"11,""abb""",abb,abb_group|gruppo_abb|abb_ability,abb,,IT,
"12,""t-power""",tpower,t-power|t_power|tpower,,,IT,
"14,""inventa_cpm_srl""",inventa,inventa_cpm,,,IT,
"20,""sicuritalia""",sicuritalia,sicuritalia,,,IT,
"22,""gruppo_sopranciodue""",soprancio,soprancio | sopran,,,IT,
"24,""altran""",altran,altran,,spezialtransp|altran_innovacion,IT,
