oja_companyname;replace_with;keywords;exact;butnot
"1,""axcent""";axcent;axcent;;
"2,""sida_group""";sida;sida_group;sida;
"3,""green4you_srls""";green4you;green4you|green_for_you|green-for-you;;
"4,""nexus""";nexus;nexus;;nexusnet|nexusway
"5,""fincons_spa""";fincons;fincons;;finconsult|luisaviaroma
"6,""generali_italia_s.p.a.""";generali;generali_italia|assicurazioni_generali;generali;
"7,""akka_technologies""";akka;akka;;sakkal
"8,""sapiens_spa""";sapiens;sapiens;;srl
"10,""alten_italia_spa""";alten;alten;;altenbetreuung|altenna|am_alten|altenda|alteni|altenh
"11,""abb""";abb;abb_group|gruppo_abb|abb_ability;abb;
"12,""t-power""";tpower;t-power|t_power|tpower;;
"14,""inventa_cpm_srl""";inventa;inventa_cpm;;
"15,""accenture""";accenture;accenture;;
"17,""verisure_italy""";verisure;verisure;;
"18,""amazon""";amazon;amazon;;
"19,""lidl""";lidl;lidl;;
"20,""sicuritalia""";sicuritalia;sicuritalia;;
"21,""kering""";kering;kering;;
"22,""gruppo_sopranciodue""";soprancio;soprancio | sopran;;
"24,""altran""";altran;altran;;spezialtransp|altran_innovacion
"25,""hash""";hash;hash;;
"26,""innovative_management_services_s.r.l.""";innovative_management_services;innovative_management_services;ims;
"27,""ferrovie_dello_stato""";ferrovie;ferrovie;;
"28,""dentalpro""";dentalpro;dentalpro;;
"29,""atos""";atos;atos_italia|atos_se;atos;
"31,""lenergia_s.p.a.""";lenergia;lenergia;;edilenergia
"32,""inventacpm_s.r.l.""";inventa;inventa;;
"33,""sicuritalia_spa""";sicuritalia;sicuritalia;;
"35,""deloitte""";deloitte;deloitte;;
"36,""carrefour""";carrefour;carrefour;;
"37,""fondazione_patrizio_paoletti""";paoletti;patrizio_paoletti;;
"38,""bennet""";bennet;bennet;;
"40,""iada_-_italian_automotive_dealer_association""";iada;iada;;piada|giada|riada|viada
"41,""ikea""";ikea;ikea;;
"43,""ig_samsic_hr""";samsic;samsic;;
"44,""construfy""";construfy;construfy;;
"45,""esselunga""";esselunga;esselunga;;
"46,""aizoon""";aizoon;aizoon;;
"47,""kritek,_s.r.o.""";kritek;kritek;;
"48,""yamamay""";yamamay;yamamay;;
"49,""centri_vitaldent""";vitaldent;vitaldent;;
"50,""optima_italia_spa""";optima;optima;;optimal|optima_solutions|optima_uk
"51,""amadori""";amadori;amadori;;
"52,""geox""";geox;geox;;
"53,""kasanova""";kasanova;kasanova;;
"54,""sephora""";sephora;sephora;;
"56,""barilla""";barilla;barilla;;
"57,""nifra_srl""";nifra;nifra_s|nifrasrl;nifra;
"58,""technogym""";technogym;technogym;;
"59,""kpmg""";kpmg;kpmg;;
"60,""yves_rocher""";yves;yves;;
"62,""gruppo_pam""";pam;gruppo_pam|gruppopam|gruppo-pam;pam;
"63,""sanofi""";sanofi;sanofi;;
"64,""footlocker""";footlocker;footlocker;;
"65,""compagnia_generale_ristorazione_spa""";generale_ristorazione;generale_ristorazione|generaleristorazione|generale-ristorazione|cigierre;;
"66,""volkswagen""";volkswagen;volkswagen;;
"67,""coca_cola""";coca_cola;coca_cola|cocacola|coca-cola;;
"68,""bnp_paribas""";paribas;paribas;;
"69,""atm""";atm_it;atm;atm;
"70,""bimbo_store""";bimbo_store;bimbo_store|bimbostore|bimbo-store;;
"71,""burger_king""";burger_king;burger_king|burgerking|burger-king;;
"72,""mondo_convenienza""";mondo_convenienza;mondo_convenienza|mondoconvenienza|mondo-convenienza;;
"73,""perpiù""";perpiu;perpi;;
"74,""norauto""";norauto;norauto;;
"75,""desigual""";desigual;desigual;;
"76,""goldenpoint_s.p.a""";goldenpoint;goldenpoint;;
"77,""kiko""";kiko;kiko;;akiko|ikiko
"78,""cartorange_srl""";cartorange;cartorange;;
"79,""simply_market""";simply_market;simply_market|simplymarket|simply-market;;
"80,""unicredit_srl""";unicredit;unicredit;;nocera|fabio
