oja_companyname;replace_with;keywords;exact;butnot
"81,""famila""";famila;famila;;
"82,""swatch""";swatch;swatch;;
"83,""philmark_group""";philmark;philmark;;
"84,""stroili_oro""";stroili;stroili;;
"86,""calzedonia""";calzedonia;calzedonia;;
"87,""ld_market""";ld_market;ld_market|ldmarket|ld-market;;field|marketing|world
"88,""gruppo_fidelitas_s.p.a.""";fidelitas;fidelitas;;
"89,""accor_hotels""";accor;accor;;accord|accors
"90,""thermo_fisher_scientific""";thermo_fisher;thermo_fisher|thermofisher|thermo-fisher;;
"91,""wells_fargo""";fargo;fargo;;
"92,""md_spa""";md;md_spa|mdspa|md-spa;md;
"93,""peter_pan_entertainment""";peter_pan;peter_pan|peterpan|peter-pan;;scuola
"94,""bricocenter""";bricocenter;bricocenter;;
"95,""euromec2""";euromec2;euromec2;;
"96,""intesa_san_paolo""";intesa;intesa;;
"97,""msc_crociere""";msc_crociere;msc_crociere|msccrociere|msc-crociere;msc;
"98,""brembo""";brembo;brembo;;reti
"99,""mediaworld_s.p.a""";mediaworld;mediaworld;;
"100,""ferrero""";ferrero;ferrero;;perizie
"103,""maisons_du_monde_spa""";maisons;maisons;;des_maisons
"104,""pwc""";pwc;pwc;;
"105,""supermercati_tosano""";tosano;tosano;;
"106,""automobili_lamborghini_holding_spa""";lamborghini;lamborghini;;motorsport
"107,""radar_business_academy_-_school_of_management""";radar_business;radar_business|radarbusiness|radar-business;radar;
"108,""culligan_spa""";culligan;culligan;;
"109,""esprimo_srl""";esprimo;esprimo;;
"110,""itconsulting_srl""";itconsulting;itconsulting;;
"111,""penny_market""";penny;penny;;
"112,""globo_moda""";globo_moda;globo;;
"113,""milano_executive_search""";milano_executive;milano_executive|milanoexecutive|milano-executive;;
"115,""salmoiraghi_e_viganò""";salmoiraghi;salmoiraghi;;
"116,""niuma_srl""";niuma;niuma;;
"117,""open_source_management""";open_source_management;open_source_m;;
"118,""iscs_srls""";iscs;iscs;;
"119,""best_option_media""";best_option;best_option|bestoption|best-option;;
"120,""gls_corriere_espresso""";gls_corriere;gls_corriere|glscorriere|gls-corriere;gls;
"121,""poltrone_e_sofa""";poltrone_e_sofa;poltrone_e_sofa|poltroneesofa|poltrone-e-sofa;;poltrone-e-sofa
"123,""scai""";scai_spa|gruppo_scai;scai;;
"124,""decathlon_italia_s.r.l.""";decathlon;decathlon;;
"125,""golden_lady_spa""";golden_lady;golden_lady|goldenlady|golden-lady;;
"127,""carpisa""";carpisa;carpisa;;
"128,""om_group""";om_group;om_group|omgroup|om-group;;tom_group|com_group
"129,""wiener_haus""";wiener;wiener;;
"130,""eataly""";eataly;eataly;;
"131,""kiron_partner_s.p.a.""";kiron;kiron;;
"132,""obi_italia""";obi;obi_italia;obi;
"133,""consoft_informatica_srl""";consoft;consoft;;consoftware
"134,""cronoshare.com""";cronoshare;cronoshare;;
"135,""eterea_srl""";eterea;eterea;;
"136,""iper""";ipermercati_iper;ipermercati_iper|ipermercati-iper|ipermercatiiper;iper;
"137,""wycon_spa""";wycon;wycon;;
"138,""gigante""";gigante;gigante;;piazza
"139,""grandvision_italy_s.r.l.""";grandvision;grandvision;;
"140,""leroy_merlin""";leroy;leroy;;
"141,""metro""";metro;metro_ag|metro_group;metro;
"142,""old_wild_west""";old_wild_west;old_wild_west|oldwildwest|old-wild-west;;
"143,""gardaland""";gardaland;gardaland;;
"144,""iqvia""";iqvia;iqvia;;
"145,""scarpe_&_scarpe""";scarpe;scarpe_&_scarpe;;
"147,""virgin_active_italia_spa""";virgin;virgin_a;virgin;
"148,""dainese""";dainese;dainese;;dainese_s.r.l
"149,""deichmann""";deichmann;deichmann;;
"150,""eurospin""";eurospin;eurospin;;
"151,""osm_network_srl""";osm_network;osm_network|osmnetwork|osm-network;osm;
"152,""prima_donna""";prima_donna;prima_donna|primadonna|prima-donna;;
"153,""24ore_business_school""";24ore;24ore;;oro24ore
"154,""leroy_merlin_spa""";leroy;leroy;;toitures
"155,""natura_si""";natura_si;natura_si|naturasi|natura-si;;
"156,""amaris""";amaris;amaris;;
"157,""best_western""";best;best_western|best-western|bestwestern;;
"158,""clayton_italia""";clayton;clayton;;
"159,""la_rinascente_spa""";rinascente;rinascente;;
"161,""spindox_spa""";spindox;spindox;;
"162,""a.s.d._toptour""";toptour;toptour;;
"163,""bticino_spa""";bticino;bticino;;
"164,""verisure""";verisure;verisure;;
"165,""futurenergy_rinnovabile_srl""";futurenergy;futurenergy;;
"166,""gruppo_fe.ma""";fema;fe.ma|gruppo_fema|gruppo-fema|gruppo_fema;fema;ferma
"167,""l'occitane_en_provence""";occitane;occitane;;
"168,""liquigas_spa""";liquigas;liquigas;;
"169,""maxi_zoo_italia_spa""";maxi_zoo;maxi_zoo|maxizoo|maxi-zoo;;
"171,""lovable""";lovable;lovable;;
"172,""number_one_srl""";number_one;number_one|numberone|number-one;;
"173,""ovs_spa""";ovs_spa;ovs_spa|ovs-spa|ovsspa;ovs;
"175,""tigros_s.p.a.""";tigros;tigros;;
"176,""agripiù""";agripi;agripi;;
"177,""apple_spa""";apple;apple;;
"179,""despar""";despar;despar;;
"180,""my_chef_ristorazione_commerciale""";my_chef;my_chef|mychef|my-chef;;sabik
"181,""autogrill_spa""";autogrill;autogrill;;
"182,""bricoman""";bricoman;bricoman;;
"184,""action_ict_srl""";action_ict;action_ict|action-ict|actionict;;
"186,""berner_spa""";berner;berner;;pizzeria_berner
"188,""dmail""";dmail;dmail;;
"190,""l'arte_di_abitare""";arte_di_abitare;arte_di_abit|artediabit|arte-di-abit;;
"191,""starbucks""";starbucks;starbucks;;
"192,""fincantieri_s.p.a""";fincantieri;fincantieri;;
"195,""art_swiss_entertainment""";art_swiss;art_swiss|artswiss|art-swiss;;
"196,""bureau_veritas""";veritas;bureau_veritas|bureauveritas|veritas_spa;;
"197,""italo""";italo;italo_spa|italospa|italo-spa;italo;
"198,""lutech_spa""";lutech;lutech;;
"199,""roadhouse""";roadhouse;roadhouse;;
"201,""piazza_italia_spa""";piazza_italia;piazza_italia|piazzaitalia|piazza-italia;;
"204,""percassi""";percassi;percassi_management;percassi;
"206,""cpl_&_taylor""";taylor;taylor;;amp|hopkinson|evans|root
"208,""poste_italiane_spa""";poste_italiane;poste_italiane|poste-italiane|posteitaliane;poste;
"209,""unieuro""";unieuro;unieuro;;
"210,""workforce_on_line_s.p.a.""";workforce;workforce;;
"212,""salcom_s.r.l.""";salcom;salcom;;
"214,""marriott""";marriott;marriott;;
"215,""avangarde_consulting_s.r.l.""";avangarde;avangarde;;
"216,""baker_hughes""";hughes;hughes;;linguistico
"217,""deliveroo""";deliveroo;deliveroo;;
"218,""dpv_s.p.a""";dpv_spa;dpv_spa|dpvspa|dpv-spa;dpv;
"220,""w_srl""";w_srl;nosearchbykeywordhere;w_srl;
"222,""porterage_srls""";porterage;porterage;;
"224,""lush""";lush_italia;lush_italia|lushitalia|lush-italia|lushsrl|lush-srl|lush_srl;lush;
"225,""bep's""";beps;bep's|beps;bep;
"226,""dentista.tv""";dentista;dentista.tv;dentista;
"227,""arco-group""";arco_group;arco-group|arco_group|arcogroup;arco;marco
"228,""martini_&_rossi""";martini;martini_&_rossi|martini&rossi;;
"229,""alstom""";alstom;alstom;;
"232,""top_animation_team""";top_animation;topanimation|top_animation|top-animation;;
"233,""txt_e-solutions_spa""";txt_esolutions;txt_e|txt-e|txtesolu;;
"234,""gsk""";gsk;gskspa|gsk_spa|gsk-spa;gsk;
"235,""iperal_supermercati_s.p.a.""";iperal;iperal;;
"236,""mediatica_s.p.a.""";mediatica;mediatica;;
"237,""service_tcf""";service_tcf;service_tcf|service-tcf|service_tcf;tcf;
"238,""studio_emme""";studio_emme;studio_emme|studioemme|studio-emme;;sas|emmepi
"241,""myevents_italia_asd""";myevents;myevents;;
"242,""siemens_ag""";siemens;siemens;;
"243,""atmen_s.r.l.""";atmen;atmen;;treatment
"244,""mconsulting""";mconsulting;mconsulting;;team|cosm|form
"245,""nestlé""";nestl;nestl;;
"246,""no_problem_srl""";no_problem;no_problem|no-problem|noproblem;;
"251,""european_organisational_research_group_ltd""";organisational;organisational;;
"252,""gesfor_srl""";gesfor;gesfor;;
"253,""ikea""";ikea;ikea;;
"254,""nau_spa""";nau_spa;nau_spa|nauspa|nau-spa;nau;
