oja_companyname;replace_with;keywords;exact;butnot
"1,""secretariatul_general_al_guvernului""";SGG;secretariatul_general;;
"2,""continental""";continental;continental;;automotive|tma_transcontinental_srl|osram_continental|continental_automotive_group_romania|sc_continental_automotive_products_srl|continental_automotive_sibiu|continental_automotive_systems_srl|continental_powertrain_romania
"4,""oracle""";oracle;oracle;;
"5,""aconex""";aconex;aconex;;
"6,""netsuite_inc.""";netsuite;netsuite;;
"8,""ing_investment_banking""";ing_group;ing_romania|ing_investment_banking;;salesconsulting|societe_generale_private_banking|inter-consulting_europe_(uk)_ltd|spring_professional|spring_professional_portugal|huxley_banking_&amp|
"10,""accenture""";accenture;accenture;;
"11,""soc""";soc;soc;soc; io_associates|societe_generale|octopus_computer_associates|levy_associates_ltd|michael_bailey_associates_-_uk_contracts|associates_ltd|brd_-_groupe_societe_generale|schuback_search_associates|associates|social_tec_hunting
"13,""honeywell""";honeywell;honeywell|honeywell_intelligrated|honeywell_international_inc;;
"14,""orange""";orange;orange_business_services|orange_romania_sa;orange;
"15,""genpact""";genpact;genpact;;
"16,""lugera""";lugera;lugera;;
"17,""confidential""";confidential;confidential;;
"18,""sne""";sne;sne;sne;waldmessner_invest_srl|klousner|marsner_technologies_srl|asnet|freigassner_roman|grossner_trading_srl|mariusnes1968|mihai_bosneanu|sneja|thuasne|transnelcar_iv-_transnporte_de_mercadorias,_lda
"19,""microsoft""";microsoft;microsoft;;
"20,""emerson""";emerson;emerson;;
"22,""ubisoft""";ubisoft;ubisoft_entertainment;ubisoft;
"23,""atos""";atos;atos;atos;
british_american_tobacco;british_american_tobacco;british_american_tobacco;;
"25,""endava""";endava;endava;endava;
"26,""societe_generale""";societe_generale;societe_generale;;
"28,""kaufland""";kaufland;kaufland;;
"29,""luxoft""";luxoft;luxoft;;
"31,""finastra""";finastra;finastra;;
"32,""dell_technologies""";dell;dell;dell;sabadell|dellent_consulting|wardell_armstrong|asociatia_arte_dell`_anima|dellent|asociatia_arte_dell'anima|banco_sabadell|business_modelling_associates_uk_ltd
"37,""hewlett_packard_enterprise""";HP_enterprise;hewlett;;
"38,""e.on""";eon;e.on;e.on;
"39,""greenlee_textron_inc""";greenlee_textron;greenlee_textron;;
"40,""honeywell_international_inc""";honeywell;honeywell|honeywell_intelligrated;;
"41,""vauban""";vauban;vauban;;
"42,""red_-_the_global_sap_solutions_provider""";red_Global_SAP_solutions_provider;Global_SAP_solutions_provider;;
"43,""salesconsulting""";salesconsulting;salesconsulting;;
