oja_companyname;replace_with;keywords;exact;butnot
"45,""electronic_arts""";electronic_arts;electronic_arts;;
"46,""veeam""";veeam;veeam;;
"47,""professional""";professional;professional;;
"48,""skillvalue""";skillvalue;skillvalue;;
"49,""emag""";emag;emag;;emagine|kronemag_millenium|tremag_sa
"50,""hrs_romania""";hrs_romania;hrs_romania;;
"51,""nxp_semiconductors""";nxp_semiconductors;nxp_semiconductors;;
"52,""ntt_data""";ntt_data;ntt_data;;
"53,""raiffeisen_bank""";raiffeisen;raiffeisen_bank;;
"54,""spring""";spring;spring;;
"55,""pepsico""";pepsico;pepsico;;
"56,""alten_romania""";alten_romania;alten_romania;;
"57,""amazon""";amazon;amazon;;bioamazon-frutas_e_polpas,_lda|tg_amazon_team_srl|amazonen_werke|amazon_flex_es
"58,""orange_business_services""";orange_business_services;orange_business_services;;
"59,""gameloft""";gameloft;gameloft;;
"60,""hp_development_company""";hp_development_company;hp_development_company;;
"61,""spring_professional""";spring_professional;spring_professional;;
"62,""molson_coors_brewing_company""";molson_coors_brewing_company;molson_coors_brewing_company;;
"63,""sales_consulting""";sales_consulting;sales_consulting;;
"64,""micro_focus""";micro_focus;micro_focus;;
"65,""continental_automotive_group_romania""";continental_automotive_group_romania;continental_automotive_group_romania;;
"66,""auchan_romania""";auchan_romania;auchan_romania;;
"67,""siemens_ag""";siemens;siemens;;
"69,""emerson_electric_co""";emerson_electric;emerson;;
"70,""thales_group""";thales;thales_group;;
"71,""paddy_power_betfair""";paddy_power_betfair;paddy_power_betfair;;
"73,""spring_professional_portugal""";spring_professional_portugal;spring_professional_portugal;;
"76,""bosch""";bosch;boch|bosch_service_solutions_srl|boch|bosch_service_solutions_srl|boch_romania|bosch_group|robert_bosch_gmbh|bosch_service_solutions;;bochismugurel_transport.srl
"78,""luxoft_romania""";luxoft;luxoft;;
"79,""lajumate""";lajumate;lajumate;;
"80,""ubisoft_entertainment""";ubisoft;ubisoft_entertainment;;
"81,""deutsche_bank_ag""";deutsche_bank_ag;deutche_bank;;
"82,""siemens""";siemens;siemens;;
"83,""leroy_merlin""";leroy_merlin;leroy;;
"85,""ihs_markit""";ihs_markit;ihs;ihs;
"86,""ptc""";ptc;ptc;;
"87,""antal_international""";antal_international;antal;antal;
"88,""axway""";axway;axway;;
"89,""ericsson""";ericsson;ericsson;;
"90,""sg_european_business_services""";sg_european_business_services;sg_european_business;;
"91,""vauban""";vauban;vauban;;
"92,""0.00""";0.00;0.00;;
"93,""precision_system_design,_inc.""";precision_system_design;precision_system_design;;
"94,""abc_human_capital""";abc_human_capital;abc_human;;
"95,""procter_&_gamble""";procter_&_gamble;procter_&;;
"96,""adobe_systems_incorporated""";adobe_systems_incorporated;adobe_systems;;
"97,""millercoors""";millercoors;millercoors;;
"98,""societe_generale_private_banking""";societe_generale;societe_generale_private|societe_generale|societe_generale_privat_banking;;
"99,""pepsico,_inc.""";pepsico_inc.;pepsico;;
"100,""oficina_de_treball_del_soc""";oficina_de_treball_del_soc;oficina_de_treball_del;;
"101,""bitdefender""";bitdefender;bitdefender;;
"102,""british_american_tobacco_global_business_services""";british_american_tobacco;british_american_tobacco_global_business|british_american_tobacco_global_business_services;;
"103,""oracle_romania""";oracle_romania;oracle;;
"104,""amaris""";amaris;amaris;;gd_damaris_construct_srl 
"105,""societe_generale_european_business_services_(sg_ebs)""";societe_generale_european_business_services_(sg_ebs);societe_generale_european;;
"106,""hp""";hp;hp;hp;hpc_hull_protective_coating|matchpartner|matchpoint_banen|mhp_store|php_company|sc_hpc_hull_protective_coating_srl|sc_hpt_humbel_productionstechnik_srl|sc_sahprod_meteor_srl|techpeople_a/s|tehpro_srl
"107,""politia_romana""";politia_romana;politia;;
"108,""next_ventures_ltd""";next_ventures_ltd;next_ventures;;
"109,""teamland""";teamland;teamland;;
"110,""regina_maria""";regina_maria;regina;;
"111,""molson_coors""";molson_coors;molson;;
"112,""siemens_s.r.l.""";siemens_s.r.l.;siemens;;
"114,""jysk""";jysk;jysk;;
"115,""leoni""";leoni;leoni;;
"116,""visionaire_partners""";visionaire_partners;visionaire;;
"118,""allianz_technology""";allianz_technology;allianz;;
"119,""schlumberger""";schlumberger;schlumberger;;
"120,""nxp""";nxp;nxp;;
"121,""michelin_romania""";michelin_romania;michelin;;
"122,""pentalog_sa""";pentalog_sa;pentalog;;
"123,""deloitte_romania""";deloitte_romania;deloitte;;
"124,""adp""";adp;adp;adp;
"125,""aiesec_in_romania""";aiesec_in_romania;aiesec_in;;
"126,""amber_studio""";amber_studio;amber;amber;
"127,""cognizant_softvision""";cognizant_softvision;cognizant;;
"128,""ibm""";ibm;ibm;ibm;luctibmar_trans_srl
"129,""hp""";hp;hp;hp;
"130,""lenovo""";lenovo;lenovo;;
"131,""tradeshift""";tradeshift;tradeshift;;
"132,""banca_transilvania""";banca_transilvania;banca_transilvania;;
"134,""dräxlmaier_românia""";dräxlmaier_românia;dräxlmaier;;
"135,""upc_romania""";upc_romania;upc;;
"136,""millercoor's""";millercoor's;millercoor's;upc;
"137,""modis""";modis;modis_it|modis;modis;
"138,""veeam_software""";veeam_software;veeam;;
"139,""between_technology""";between_technology;between;;
"140,""michelin""";michelin;michelin;;
"141,""rian&amp""";"partners""";rian&amp;;
"142,""metro_systems_romania""";metro_systems_romania;metro_systems;;
"143,""inter-consulting_europe_(uk)_ltd""";inter-consulting_europe_(uk)_ltd;inter-consulting_europe_(uk);;
"144,""bcr""";bcr;bcr;bcr;
"145,""netiq""";netiq;netiq;;
"146,""valoris_center""";valoris_center;valoris;;
"147,""emerson_croft""";emerson_croft;emerson;;
"148,""netcentric""";netcentric;netcentric;;
"149,""incrys""";incrys;incrys;;
"150,""io_associates""";io_associates;io_associates;io;
"151,""eurofirms""";eurofirms;eurofirms;;
"152,""askblue""";askblue;askblue;;
"153,""magento""";magento;magento;;
"154,""itech_consult""";itech_consult;itech_consult;;
"155,""alten""";alten;alten_romania|alten_iasi|alten_spain;alten;
"156,""veo_worldwide_services""";veo_worldwide_services;veo_worldwide;;
"157,""schneider_electric""";schneider_electric;schneider;;
"158,""iqvia""";iqvia;iqvia;;
"159,""professional""";professional;professional;;
"160,""wns_global_services""";wns_global_services;wns_global;;
"161,""spring_technology""";spring_technology;spring;;
"162,""habitissimo""";habitissimo;habitissimo;;
"163,""hewlett_packard_enterprise_development_lp""";hewlett_packard_enterprise_development_lp;hewlett_packard_enterprise_development;;
"164,""i.future""";i.future;i.future;;
"165,""marriott""";marriott;marriott;;
"166,""gsk""";gsk;gsk;gsk;
"167,""british_american_tobacco_nigeria""";british_american_tobacco_nigeria;british_american_tobacco;;
"168,""crossover_romania""";crossover_romania;crossover;;
"169,""unicredit_bank""";unicredit_bank;unicredit|unicredit_bank|unicredit_co|unicredit_tiriac;unicredit;
"170,""ubisoft_romania""";ubisoft_romania;ubisoft;;
"171,""uipath""";uipath;uipath;;
"172,""artwin_consulting""";artwin_consulting;artwin;;
"173,""marriott_hotels_resorts_/jw_marriott""";marriott_hotels_resorts_jw_marriott;marriott_hotels_resorts;;
"174,""temps""";temps;temps;temps;
"175,""goodyear""";goodyear;goodyear;;
"176,""oliver_bernard""";oliver_bernard;oliver_bernard;;
"177,""brd_finance""";brd_finance;brd;brd;
"178,""ey_romania""";ey_romania;ey;;
"179,""lseg_romania""";lseg_romania;lseg;;
"180,""888_group""";888_group;888;;mugurik88888
"181,""palerra""";palerra;palerra;;
"182,""computer_generated_solutions_romania""";computer_generated_solutions_romania;computer_generated_solutions;;
"183,""2checkout""";2checkout;2checkout;;
"184,""allianz_technology_se_munchen_sucursala_bucuresti""";allianz_technology_se_munchen_sucursala_bucuresti;allianz_technology_se_munchen_sucursala;;
"185,""connections_romania""";connections_romania;connections_romania|it_connections;;optima_connections|streamline_connections
"186,""conectys""";conectys;conectys;;
"187,""nokia""";nokia;nokia;;
"188,""adobe""";adobe;adobe;;
"189,""libra_internet_bank_sa""";libra_internet_bank_sa;libra_internet_bank;;
"190,""lugera_&amp";lugera;lugera;;
"191,""sii_romania""";sii_romania;sii_romania;sii;
"192,""spring_italy""";spring_italy;spring|spring|spring_professional|spring_professional_portugal|spring_technology|spring|spring_italy|spring_france ;spring;newspring_services,_sa|springcm|lifespring_-_privatklinik
"193,""visma_software_srl""";visma_software_srl;visma_software;;
"194,""docte_consulting""";docte_consulting;docte;;
"195,""hella_kgaa_hueck_&_co""";hella_kgaa_hueck_&_co;hella_kgaa_hueck_&;;
"196,""pirelli""";pirelli;pirelli;;
"197,""softvision""";softvision;softvision;;
"198,""evolve_today""";evolve_today;evolve;;
"199,""steelcase_inc.""";steelcase_inc.;steelcase;;
"200,""spring""";spring;spring;;
"201,""elektrobit_automotive_romania""";elektrobit_automotive_romania;elektrobit_automotive;;
"202,""deutsche_bank""";deutsche_bank;deutsche;;
"203,""global_enterprise_partners""";global_enterprise_partners;global_enterprise;;
"204,""p&amp";p&amp;p&amp;;
"205,""cegeka_romania""";cegeka_romania;cegeka;;
"206,""conduent""";conduent;conduent;;
"207,""reed_technology""";reed_technology;reed;;
"208,""auchan""";auchan;auchan;;
"209,""victoria_consulting_gmbh""";victoria_consulting_gmbh;victoria_consulting;;
"210,""flextronics_international""";flextronics_international;flextronics;;
"211,""rian_&amp_partners""";rian_partners;rian_partners|rian_&amp|rian_&_partners;rian;
"212,""software_specialists""";software_specialists;software_specialist;;
"213,""g2-travel""";g2-travel;g2_travel;;
"214,""apt_resources_&_services_srl""";apt_resources_&_services_srl;apt_resources_&_services;;
"215,""lisa_dräxlmaier_gmbh""";lisa_draexlmaier_gmbh;xlmaier;;
"216,""rm_it_professional_resources_ag""";rm_it_professional_resources_ag;rm_it_professional_resources;;
"217,""abb""";abb;abb;;
"218,""hacesfalta""";hacesfalta;hacesfalta;;
"219,""wolters_kluwer""";wolters_kluwer;wolters;;
"220,""arrk""";arrk;arrk;;
"221,""ursus_breweries""";ursus_breweries;ursus;;
"222,""eteam_inc.""";eteam_inc.;eteam;;
"223,""london_stock_exchange_group""";london_stock_exchange_group;london_stock_exchange;;
"224,""apt_resources__services_srl""";apt_resources__services_srl;apt_resources__services;;
"225,""inditex""";inditex;inditex;;
"226,""alstom""";alstom;alstom;;
"227,""coca-cola_hbc_romania""";coca-cola_hbc_romania;coca-cola_hbc;;
"228,""lorien""";lorien;lorien;lorien;
"229,""celestica_inc.""";celestica_inc.;celestica;;
"230,""icredit""";icredit;icredit;;
"231,""freelancerit""";freelancerit;freelancerit;;
"232,""profi_rom_food_srl""";profi_rom_food_srl;profi_rom_food;;
"233,""telus_international_europe""";telus_international_europe;telus_international;;
"234,""bombardier""";bombardier;bombardier;;
"235,""kellogg_company""";kellogg_company;kellogg;;
"236,""delgaz_grid_s.a.""";delgaz_grid_s.a.;delgaz_grid;;
"237,""harman_international""";harman_international;harman;;
"238,""vertiv""";vertiv;vertiv;;
"239,""f._hoffmann-la_roche_ltd""";f._hoffmann-la_roche_ltd;f._hoffmann-la_roche;;
"240,""otp_bank""";otp_bank;otp;otp;
"241,""parexel""";parexel;parexel;;
"242,""banca_naţională_a_româniei""";Banca_Nationala_a_Romaniei;banca_naţională_a;;
"244,""first_bank""";first_bank;first;first;
"245,""medlife""";medlife;medlife;;
"246,""sap""";sap;sap;sap;
"247,""octopus_computer_associates""";octopus_computer_associates;octopus_computer;;
"248,""vauban_it_ro_srl""";vauban_it_ro_srl;vauban_it_ro;;
"249,""apt_resources_&amp";apt_resources;apt_resources;;
"250,""lidl_romania_srl""";lidl_romania;lidl_ro|lidl_romania|lidl|lidl_romania_srl ;;
"251,""philips""";philips;philips;;
"252,""administració_pública""";administracia_publica;administració;;
"253,""romanian_software""";romanian_software;romanian;;
"254,""solarwinds_worldwide""";solarwinds_worldwide;solarwinds;;
"255,""8x8,_inc""";8x8,_inc;8x8,;;
"256,""cameron""";cameron;cameron;;
"257,""taga_medical""";taga_medical;taga_medical;taga;
"258,""federal-mogul_corporation""";federal-mogul_corporation;federal-mogul;;
"259,""hennes_and_mauritz_inc""";hennes_and_mauritz_inc;hennes_and_mauritz;;
"260,""qualitest""";qualitest;qualitest;;
"261,""wipro_digital_operations_and_platforms""";wipro_digital_operations_and_platforms;wipro_digital_operations;;
"262,""arcus.plan_ag""";arcus.plan_ag;arcus.plan;;
"263,""nextlink_solutions""";nextlink_solutions;nextlink;;
"264,""euro_games_technology""";euro_games_technology;euro_games;;
"265,""sdl""";sdl;sdl;sdl;
"266,""antal""";antal;antal|antal_international;antal;antal_zoltan|antal_zsolt|antalitaboldi
"267,""computer_futures_-_south_west""";computer_futures_south_west;computer_futures_-_south;;
"268,""mega_image""";mega_image;mega_image;mega;
"269,""domestika""";domestika;domestika;;
"270,""netcentric_ag""";netcentric_ag;netcentric;;
"271,""metro_systems_romania_srl""";metro_systems_romania_srl;metro_systems_romania;;
"272,""von_consulting_srl""";von_consulting_srl;von_consulting;;
"273,""resource_1""";resource_1;resource;;
"274,""cargill""";cargill;cargill;;
"275,""contracts_it_ltd""";contracts_it_ltd;contracts_it;;
"276,""garrett_-_advancing_motion""";garrett_advancing_motion;garrett_-_advancing;;
"277,""harvey_nash_plc""";harvey_nash_plc;harvey_nash;;
"278,""sparkware_technologies""";sparkware_technologies;sparkware;;
"279,""porsche_engineering""";porsche_engineering;porsche;;
"280,""aventics""";aventics;aventics;;
"281,""schlumberger_limited""";schlumberger_limited;schlumberger;;
"283,""stefanini_romania_srl""";stefanini_romania;stefanini_romania|stefanini_romania_srl;;
"284,""tremend_software_consulting""";tremend_software_consulting;tremend_software;;
"285,""otp_advisors""";otp_advisors;otp;otp;
"286,""bebee""";bebee;bebee;;
"287,""rb""";rb;rb;rb;
"288,""westhouse_consulting_gmbh""";westhouse_consulting_gmbh;westhouse_consulting;;
"289,""connect_44_ag""";connect_44_ag;connect_44;;
"290,""flex""";flextronics_international ;flextronics_international ;flex;
"291,""kellogg_co.""";kellogg;kellogg;;
"292,""orange_romania_sa""";orange;orange_romania;;
"293,""teksystems""";teksystems;teksystems;;
"294,""5.00""";5.00;5.00;;
"295,""tenaris""";tenaris;tenaris;;
"296,""plexus""";plexus;plexus;;
"297,""sentinel_it_llp""";sentinel_it;sentinel_it;;
"298,""temenos""";temenos;temenos;;
"299,""ams_human_resources""";ams_human_resources;ams_human;;
"300,""austin_fraser_ltd""";austin_fraser_ltd;austin_fraser;;
"301,""brd""";brd;brd;brd;
"302,""deutsche_telekom_services_europe_romania_s.r.l.""";deutsche_telekom_services_europe_romania;deutsche_telekom_services_europe_romania;;
"303,""grawe_romania_asigurare""";grawe_romania_asigurare;grawe_romania;;
"304,""solarwinds_worldwide,_llc""";solarwinds_worldwide;solarwinds_worldwide;;
"305,""euro-testing_software_solutions""";euro-testing_software_solutions;euro-testing_software;;
"306,""ftserussell""";ftserussell;ftserussell;;
"307,""huxley_banking_&amp";huxley_bank;huxley_banking;;
"308,""microsemi_corporation""";microsemi_corporation;microsemi;;
"309,""nhs_scotland""";nhs_scotland;nhs_scotland;;
"310,""tenneco_inc""";tenneco_inc;tenneco;;
"311,""hp_inc.""";hp;hp_|developement|hp_inc;hp;
"312,""marlin_green""";marlin_green;marlin;;
"313,""systematic""";systematic;systematic;;
"314,""unicredit_services""";unicredit_services;unicredit_services;;
"315,""automatic_data_processing_(adp)_romania""";automatic_data_processing_romania;automatic_data_processing_(adp);;
"316,""crowdstrike""";crowdstrike;crowdstrike;;
"317,""digi_|_rcs__rds""";digi_rcs_rds;digi_|_rcs;;
"318,""godaddy_operating_company,_llc""";godaddy_operating_company_llc;godaddy_operating_company;;
"319,""vodafone_group_plc.""";vodafone;vodafone_shared_services_romania|vodafone_uplift|vodafone_romania|vodafone|vodafone_group_plc.|vodafone_group|vodafone_limited;;
