"","n_companies","ads_per_company","tot_ads","cum_prop_ads","cum_prop_companies","cum_n_companies"
"1",1,1025,1025,0.613412488479814,0.00208138203767301,1
"2",1,766,766,1.07182611401692,0.00416276407534603,2
"3",1,753,753,1.52245987384649,0.00624414611301904,3
"4",1,631,631,1.90008258626674,0.00832552815069206,4
"5",1,593,593,2.25496415277262,0.0104069101883651,5
"6",1,592,592,2.60924726807023,0.0124882922260381,6
"7",1,568,568,2.94916755436929,0.0145696742637111,7
"8",1,559,559,3.28370177979389,0.0166510563013841,8
"9",1,533,533,3.6026762738034,0.0187324383390571,9
"10",1,481,481,3.8905313049827,0.0208138203767301,10
"11",1,421,421,4.14247926366563,0.0228952024144032,11
"12",1,400,400,4.38185974697483,0.0249765844520762,12
"13",1,393,393,4.61705107182611,0.0270579664897492,13
"14",1,384,384,4.84685633580294,0.0291393485274222,14
"15",1,331,331,5.0449436857413,0.0312207305650952,15
"16",1,323,323,5.23824342601348,0.0333021126027682,16
"17",1,318,318,5.42855091024429,0.0353834946404413,17
"18",1,311,311,5.61466923601719,0.0374648766781143,18
"19",1,306,306,5.79779530574872,0.0395462587157873,19
"20",1,305,305,5.98032292427198,0.0416276407534603,20
"21",1,299,299,6.15925983554561,0.0437090227911333,21
"22",1,298,298,6.33759829561096,0.0457904048288063,22
"23",1,287,287,6.50935379238531,0.0478717868664793,23
"24",1,286,286,6.68051083795138,0.0499531689041524,24
"25",1,284,284,6.85047098110091,0.0520345509418254,25
"26",1,277,277,7.01624196579253,0.0541159329794984,26
"27",1,276,276,7.18141449927587,0.0561973150171714,27
"28",1,273,273,7.3447916791344,0.0582786970548444,28
"29",1,266,266,7.50397970053502,0.0603600790925174,29
"30",1,264,264,7.66197081951908,0.0624414611301904,30
"31",1,240,240,7.8055991095046,0.0645228431678635,31
"32",1,234,234,7.94563669224048,0.0666042252055365,32
"33",1,229,229,8.082682018935,0.0686856072432095,33
"34",2,226,452,8.35318196507439,0.0728483713185555,35
"35",1,222,222,8.48603813331099,0.0749297533562285,36
"36",1,221,221,8.61829585033932,0.0770111353939015,37
"37",1,219,219,8.74935666495111,0.0790925174315746,38
"38",1,217,217,8.87922057714635,0.0811738994692476,39
"39",1,214,214,9.00728913571676,0.0832552815069206,40
"40",1,210,210,9.13296388945409,0.0853366635445936,41
"41",2,209,418,9.3831164945122,0.0894994276199396,43
"42",1,201,201,9.50340518737507,0.0915808096576127,44
"43",2,200,400,9.74278567068427,0.0957435737329587,46
"44",1,199,199,9.86187746113059,0.0978249557706317,47
"45",1,195,195,9.97857544674383,0.0999063378083047,48
"46",1,194,194,10.0946749811488,0.101987719845978,49
"47",1,192,192,10.2095776131372,0.104069101883651,50
"48",1,190,190,10.3232833427091,0.106150483921324,51
"49",1,188,188,10.4357921698644,0.108231865958997,52
"50",1,186,186,10.5471040946032,0.11031324799667,53
"51",1,185,185,10.6578175681337,0.112394630034343,54
"52",1,184,184,10.7679325904559,0.114476012072016,55
"53",2,183,366,10.9869657326838,0.118638776147362,57
"54",3,182,546,11.3137200924009,0.124882922260381,60
"55",1,181,181,11.4220397610983,0.126964304298054,61
"56",2,180,360,11.6374821960766,0.1311270683734,63
"57",1,179,179,11.7446049623574,0.133208450411073,64
"58",2,178,356,11.9576535925026,0.137371214486419,66
"59",3,177,531,12.2754311840956,0.143615360599438,69
