,id,countrycode,V1,N,sample1,sample2,agency
94,für_gesellschaft_gns_mbh_nuklear_serviceDE,DE,für_gesellschaft_gns_mbh_nuklear_service,79,1,0,0
95,gasl_sroCZ,CZ,gasl_sro,145,1,0,1
96,gmbh_group_schreinerDE,DE,gmbh_group_schreiner,1112,1,0,0
97,gmbh_hays_professional_solutionsDE,DE,gmbh_hays_professional_solutions,30591,1,0,1
98,gmbh_hteDE,DE,gmbh_hte,33,1,0,0
99,gmbh_knobloch_max_nachfDE,DE,gmbh_knobloch_max_nachf,27,1,0,0
100,gmbh_kopp_personaldienstleistungenDE,DE,gmbh_kopp_personaldienstleistungen,2026,1,0,1
101,gmbh_leasing_personal_top_unternehmensdienstleistungenDE,DE,gmbh_leasing_personal_top_unternehmensdienstleistungen,21849,1,0,1
102,gmbh_limoDE,DE,gmbh_limo,44,1,0,0
103,gmbh_marmixDE,DE,gmbh_marmix,16,1,0,0
104,gmbh_nordseeDE,DE,gmbh_nordsee,1282,1,0,0
105,gmbh_partner_personaldienste_westDE,DE,gmbh_partner_personaldienste_west,2715,1,0,1
106,gmbh_partner_renzDE,DE,gmbh_partner_renz,4184,1,0,0
107,gmbh_pediconDE,DE,gmbh_pedicon,10,1,0,1
108,gmbh_personalagentur24DE,DE,gmbh_personalagentur24,2376,1,0,1
109,gmbh_personaldiensleistungen_temptonDE,DE,gmbh_personaldiensleistungen_tempton,183,1,0,1
110,gmbh_personaldienstleistungen_temptonDE,DE,gmbh_personaldienstleistungen_tempton,26115,1,0,1
111,gmbh_solcomDE,DE,gmbh_solcom,5112,1,0,1
112,gmbh_timeworkDE,DE,gmbh_timework,17113,1,0,1
113,gmbh_whatchadoAT,AT,gmbh_whatchado,353,1,0,1
114,gmbh_yakabunaDE,DE,gmbh_yakabuna,6103,1,0,1
115,goldman_sachsSE,SE,goldman_sachs,46,1,0,0
116,graf_nadja_personalvermittlung_personavitalisDE,DE,graf_nadja_personalvermittlung_personavitalis,1542,1,0,1
117,groupIT,IT,group,100882,1,0,1
118,group_heros_sroCZ,CZ,group_heros_sro,6,1,0,0
119,group_uvexDE,DE,group_uvex,153,1,0,0
120,groupagoraFR,FR,groupagora,1947,1,0,1
121,groupe_leader_polFR,FR,groupe_leader_pol,61,1,0,0
122,gruppe_soulkitchenAT,AT,gruppe_soulkitchen,25,1,0,0
123,hamburg_mvz_strahlenzentrumDE,DE,hamburg_mvz_strahlenzentrum,2,1,0,0
124,hanson_ltd_reganFR,FR,hanson_ltd_regan,66,1,0,1
125,haysFR,FR,hays,108741,1,0,1
126,herten_stadtverwaltung_verwaltung_zentraleDE,DE,herten_stadtverwaltung_verwaltung_zentrale,150,1,0,0
127,hotels_louvreFR,FR,hotels_louvre,789,1,0,0
128,immobilierFR,FR,immobilier,557,1,0,0
129,impactBE,BE,impact,24332,1,0,1
130,inne_intertrans_kwalifikacyjnych_oferty_opinii_pracodawcy_prowadzi:_rekrutacje_rozmówPL,PL,inne_intertrans_kwalifikacyjnych_oferty_opinii_pracodawcy_prowadzi:_rekrutacje_rozmów,10,1,0,1
131,interim_konvertBE,BE,interim_konvert,10622,1,0,1
132,intermediair_solideNL,NL,intermediair_solide,853,1,0,1
133,intersportFR,FR,intersport,4112,1,0,0
134,jens_pforr_rotisDE,DE,jens_pforr_rotis,976,1,0,1
135,jeronimo_martinsPL,PL,jeronimo_martins,3673,1,0,0
136,job_merkenAT,AT,job_merken,424,1,0,1
137,job_spaIT,IT,job_spa,12029,1,0,1
138,jobacademy_nord_ost_vodafoneDE,DE,jobacademy_nord_ost_vodafone,889,1,0,1
139,jobmatch_llnBE,BE,jobmatch_lln,171,1,0,1
140,klinikSE,SE,klinik,17,1,0,0
141,koleje_państwowe_polskiePL,PL,koleje_państwowe_polskie,137,1,0,0
142,konsulting_synergiaPL,PL,konsulting_synergia,1489,1,0,1
143,kortrijk_let's_workBE,BE,kortrijk_let's_work,680,1,0,1
144,l'education_ministèreFR,FR,l'education_ministère,3947,1,0,0
145,l'offreFR,FR,l'offre,3263,1,0,1
146,lanbideES,ES,lanbide,13852,1,0,1
147,lavoro_neuvoo_offertaIT,IT,lavoro_neuvoo_offerta,14519,1,0,1
148,lavoro_offerta_wizbiiIT,IT,lavoro_offerta_wizbii,106878,1,0,1
149,les_sca_vigneronsIT,IT,les_sca_vignerons,1,1,0,0
150,ltd_tankers_tmsEL,EL,ltd_tankers_tms,4,1,0,0
151,lynxFR,FR,lynx,28265,1,0,0
152,ländlejobatAT,AT,ländlejobat,831,1,0,1
153,l’habitat_l’union_pour_socialeFR,FR,l’habitat_l’union_pour_sociale,2557,1,0,0
154,manpowerBE,BE,manpower,41090,1,0,1
155,manpowerFR,FR,manpower,297173,1,0,1
156,manpowerIT,IT,manpower,126433,1,0,1
157,manpowerSE,SE,manpower,199760,1,0,1
158,marine_nationaleFR,FR,marine_nationale,78224,1,0,0
159,matchdNL,NL,matchd,14170,1,0,1
160,mavaroBE,BE,mavaro,2,1,0,0
161,mecaluxsaES,ES,mecaluxsa,167,1,0,0
162,michael_pageFR,FR,michael_page,99574,1,0,1
163,michael_pagePL,PL,michael_page,7339,1,0,1
164,modis[[sudouestjob]]FR,FR,modis[[sudouestjob]],6,1,0,1
165,netherlandsexpatjobseuNL,NL,netherlandsexpatjobseu,130824,1,0,1
166,nexianES,ES,nexian,5209,1,0,1
167,nxp_semiconductorsDE,DE,nxp_semiconductors,669,1,0,0
168,onegroupsIT,IT,onegroups,7,1,0,0
169,orientaIT,IT,orienta,33467,1,0,1
170,outsourcing_randstadES,ES,outsourcing_randstad,1239,1,0,1
171,page_personnelFR,FR,page_personnel,281016,1,0,1
172,partners_yunFR,FR,partners_yun,340,1,0,1
173,people_startNL,NL,people_start,43399,1,0,1
174,personalagentur24DE,DE,personalagentur24,12520,1,0,1
175,preplyES,ES,preply,2906,1,0,1
176,promanFR,FR,proman,85636,1,0,1
177,quentalES,ES,quental,276,1,0,0
178,randstadDE,DE,randstad,65455,1,0,1
179,randstadFR,FR,randstad,302272,1,0,1
180,rechtshulp_univeNL,NL,rechtshulp_unive,356,1,0,0
181,reddoakIT,IT,reddoak,132,1,0,0
182,robert_waltersES,ES,robert_walters,5736,1,0,1
183,schottDE,DE,schott,1162,1,0,0
184,selorBE,BE,selor,2097,1,0,1
185,service_tcfIT,IT,service_tcf,727,1,0,1
186,spindleBE,BE,spindle,236,1,0,1
187,springFR,FR,spring,47663,1,0,1
188,synergieFR,FR,synergie,206458,1,0,1
189,tagliatellaES,ES,tagliatella,223,1,0,0
190,taleisFR,FR,taleis,569,1,0,1
191,tecBE,BE,tec,980,1,0,0
192,temporisFR,FR,temporis,103729,1,0,1
193,tiptopjobcomIT,IT,tiptopjobcom,18731,1,0,1
194,ucanssFR,FR,ucanss,16061,1,0,0
195,vainuSE,SE,vainu,16,1,0,0
196,vesterlingDE,DE,vesterling,11496,1,0,1
197,vittraskolornaSE,SE,vittraskolorna,399,1,0,0
198,werkzoekennlNL,NL,werkzoekennl,89434,1,0,1
199,youcruitSE,SE,youcruit,1322,1,0,1
200,zoomNL,NL,zoom,87,1,0,0
