,id,countrycode,V1,N,sample1,sample2,agency
1,"""vasaura""_uabLT",LT,"""vasaura""_uab",2,1,0,0
2,(gmbh_clipper_co)_logisticsDE,DE,(gmbh_clipper_co)_logistics,23,1,0,0
3,(italy)_logistics_spa_yusenIT,IT,(italy)_logistics_spa_yusen,9,1,0,0
4,(publ)_studentconsulting_swedenSE,SE,(publ)_studentconsulting_sweden,5381,1,0,1
5,13241708_anzeige_chiffreAT,AT,13241708_anzeige_chiffre,2,1,0,0
6,acassFR,FR,acass,8399,1,0,1
7,actief_gmbh_personalmanagement_villingenDE,DE,actief_gmbh_personalmanagement_villingen,431,1,0,1
8,adeccoDE,DE,adecco,9975,1,0,1
9,adeccoFR,FR,adecco,437834,1,0,1
10,adeccoIT,IT,adecco,72521,1,0,1
11,adecco_bologna_calda_filiale_italia_spaIT,IT,adecco_bologna_calda_filiale_italia_spa,724,1,0,1
12,adecco_italia_spaIT,IT,adecco_italia_spa,122630,1,0,1
13,adecco_medicalFR,FR,adecco_medical,151995,1,0,1
14,adequatFR,FR,adequat,149393,1,0,1
15,adequat_junien_saintFR,FR,adequat_junien_saint,279,1,0,1
16,agence_molsheimFR,FR,agence_molsheim,273,1,0,1
17,agence_tourcoingFR,FR,agence_tourcoing,105,1,0,1
18,agentur_arbeit_arbeit_bundesagentur_für_für_sangerhausenDE,DE,agentur_arbeit_arbeit_bundesagentur_für_für_sangerhausen,5,1,0,1
19,agilios_gmbh_personalDE,DE,agilios_gmbh_personal,3077,1,0,1
20,agricole_cib_creditFR,FR,agricole_cib_credit,4544,1,0,0
21,alt_chez_marie_rosayFR,FR,alt_chez_marie_rosay,1,1,0,0
22,ams_durch_personalvorauswahlAT,AT,ams_durch_personalvorauswahl,21147,1,0,1
23,andreas_mag_steinbauerAT,AT,andreas_mag_steinbauer,29,1,0,1
24,animal_health_msdAT,AT,animal_health_msd,17,1,0,0
25,apotheke_engel_karen_weissenbergerDE,DE,apotheke_engel_karen_weissenberger,2,1,0,0
26,apvienība_bdr_latvijas_samariešuLV,LV,apvienība_bdr_latvijas_samariešu,44,1,0,0
27,armee_terreFR,FR,armee_terre,746572,1,0,0
28,artusFR,FR,artus,15656,1,0,1
29,assesors_gestartES,ES,assesors_gestart,52,1,0,0
30,autorecruteFR,FR,autorecrute,1282,1,0,1
31,avenira_gmbh_personaldienstleistungenDE,DE,avenira_gmbh_personaldienstleistungen,1091,1,0,1
32,awel_interimFR,FR,awel_interim,371,1,0,1
33,badenoch_clarkFR,FR,badenoch_clark,8533,1,0,1
34,bdoNL,NL,bdo,455,1,0,0
35,bebeeES,ES,bebee,43838,1,0,1
36,belgiumexpatjobseuBE,BE,belgiumexpatjobseu,58178,1,0,1
37,berlin_gmbh_niederlassung_runtime_solutionsDE,DE,berlin_gmbh_niederlassung_runtime_solutions,253,1,0,1
38,bespokers_webPL,PL,bespokers_web,222,1,0,0
39,bip_bundesweite_gesellschaft_gmbh_intensiv_pflegeDE,DE,bip_bundesweite_gesellschaft_gmbh_intensiv_pflege,1038,1,0,0
40,bosch_gruppeAT,AT,bosch_gruppe,80,1,0,0
41,bouwjobsBE,BE,bouwjobs,9877,1,0,1
42,brückler_zahntechnik_ztbAT,AT,brückler_zahntechnik_ztb,5,1,0,0
43,bsolutionsgroupIT,IT,bsolutionsgroup,47,1,0,0
44,bureau_comptabilite_expectra_finance_massyFR,FR,bureau_comptabilite_expectra_finance_massy,720,1,0,1
45,burger_supportNL,NL,burger_support,346,1,0,1
46,butković_doo_trgovinu_ugostiteljstvo_uslugeHR,HR,butković_doo_trgovinu_ugostiteljstvo_usluge,3,1,0,0
47,bzv_gmbh_medienhausDE,DE,bzv_gmbh_medienhaus,65,1,0,0
48,canariasES,ES,canarias,2878,1,0,0
49,capioSE,SE,capio,2171,1,0,0
50,castilla_junta_leónES,ES,castilla_junta_león,407,1,0,0
51,cdd_cdi_manpowerFR,FR,cdd_cdi_manpower,37790,1,0,1
52,cegnev:_faktor_kft_premiumHU,HU,cegnev:_faktor_kft_premium,2,1,0,0
53,center_group_parcs_pierre_vacancesFR,FR,center_group_parcs_pierre_vacances,597,1,0,0
54,chausson_materiauxFR,FR,chausson_materiaux,5751,1,0,0
55,chrysoFR,FR,chryso,106,1,0,0
56,citiIE,IE,citi,1173,1,0,0
57,click_henkilöstöpalvelutFI,FI,click_henkilöstöpalvelut,2127,1,0,1
58,compagnie_genis_laval_saint_seniorFR,FR,compagnie_genis_laval_saint_senior,42,1,0,0
59,company_select_theSE,SE,company_select_the,727,1,0,1
60,consalco_gmbh_yourfirmdeDE,DE,consalco_gmbh_yourfirmde,21,1,0,1
61,consultans_mayrhofer_recruitmentDE,DE,consultans_mayrhofer_recruitment,2602,1,0,1
62,consultingFR,FR,consulting,7701,1,0,1
63,consultoría_empresarial_seremES,ES,consultoría_empresarial_serem,2773,1,0,1
64,cooperative_enseigneFR,FR,cooperative_enseigne,6932,1,0,0
65,cronosharecomES,ES,cronosharecom,98653,1,0,1
66,deloitteDE,DE,deloitte,9577,1,0,0
67,deutschland_germanpersonnelde_randstadDE,DE,deutschland_germanpersonnelde_randstad,29573,1,0,1
68,deutschland_ohg_parcel_service_unitedDE,DE,deutschland_ohg_parcel_service_united,583,1,0,0
69,dfiFR,FR,dfi,339,1,0,0
70,die_jobmacherDE,DE,die_jobmacher,4800,1,0,1
71,douwe_egberts_jacobsSE,SE,douwe_egberts_jacobs,45,1,0,0
72,dreher_dreher_gmbh_undDE,DE,dreher_dreher_gmbh_und,8,1,0,0
73,edeka_mathe_mathe_rogerDE,DE,edeka_mathe_mathe_roger,5,1,0,0
74,eichhoff_gmbh_otto_schrauben_udrahtwarenfabrikDE,DE,eichhoff_gmbh_otto_schrauben_udrahtwarenfabrik,8,1,0,0
75,electro_gesellschaft_handels_mbh_neckarsulm_saturnDE,DE,electro_gesellschaft_handels_mbh_neckarsulm_saturn,1,1,0,0
76,elisFR,FR,elis,4831,1,0,0
77,eminent_groepNL,NL,eminent_groep,46081,1,0,1
78,emploi_pôleFR,FR,emploi_pôle,121002,1,0,1
79,emploi_samsicFR,FR,emploi_samsic,72947,1,0,1
80,energy_finland_prokon_windFI,FI,energy_finland_prokon_wind,2,1,0,0
81,eurofeuFR,FR,eurofeu,1034,1,0,0
82,expeditorsRO,RO,expeditors,49,1,0,0
83,fed_humanFR,FR,fed_human,3905,1,0,1
84,feneroIE,IE,fenero,57,1,0,0
85,fertigung_gmbh_pharma_vetterDE,DE,fertigung_gmbh_pharma_vetter,980,1,0,0
86,fiducialFR,FR,fiducial,18065,1,0,0
87,forever_hahn_incaricata_living_martina_productsIT,IT,forever_hahn_incaricata_living_martina_products,468,1,0,0
88,formaposte_mediterraneeFR,FR,formaposte_mediterranee,366,1,0,0
89,france_randstadFR,FR,france_randstad,21460,1,0,1
90,francexpatjobscomFR,FR,francexpatjobscom,106388,1,0,1
91,fränznick_himmes_rechtsanwälte_steuerberater_wirtschaftsprüferDE,DE,fränznick_himmes_rechtsanwälte_steuerberater_wirtschaftsprüfer,7,1,0,0
92,fulbright_norton_roseDE,DE,fulbright_norton_rose,70,1,0,0
93,fyteFR,FR,fyte,5382,1,0,1
