"";"x"
"1";"axcent ; axcent_company ; axcent_company"
"2";"sida_group ; sida_group ; sida_group ; sida_group_2 ; sida_group_hr ; sida ; healthcare_per_sida_group ; sida_group ; sida_group_spa"
"3";""
"4";"nexus ; nexus_spa_filiale_di_cameri ; nexus ; nexus_spa ; nexus_spa ; nexus_spa ; nexus_advanced_technologies ; nexus_spa ; nexus_spa ; nexus_hotel_service ; _filiale_di_cameri nexus_spa_"
"5";"fincons_spa ; fincons_group_ag ; gruppo_fincons ; fincons_spa ; fincons_group ; fincons_spa ; fincons_group ; fincons ; fincons_spa ; sviluppatori_app_0_luisaviaroma_spa_fincons_spa_empatica_gruppo_mutuionline_officina_digitale_italia ; sviluppatori_pquod_0_luisaviaroma_spa_fincons_spa_empatica_gruppo_mutuionline_officina_digitale_ital"
"6";"generali_italia_spa ; generali ; generali_group ; generali ; generali_italia ; generali_italia_spa_agenzia_generale_di_saronno ; generali_italia_spa_agenzia_generale_di_albino_via_roma ; _agenzia_di_milano_fiera generali_italia_spa_ ; generali_italia_agenzia_di_trescore_balneario ; generali_italia_como ; generali_italia_spa ; generali_italia_agenzia_generale_di_erba_xxv_aprile_50 ; _agenzia_di_ascoli_piceno generali_italia_spa_ ; _agenzia_di_brescia_castello generali_italia_spa_ ; _agenzia_di_macerata generali_italia_spa_ ; generali_italia_spa_agenzia_generale_di_milano_fiera ; _agenzia_di_crema generali_italia_spa_ ; generali_italia_spa ; agenzia_generali_italia_spa ; generali_italia_agenzia_generale_di_cremona ; _agenzia_di_desenzano generali_italia_spa_ ; _agenzia_generale_di_monza_largo_xxv_aprile_distaccamento_di_monza_viale_libertà_e_vimercate_piazza_marconi generali_italia_spa_ ; _agenzia_generale_di_genova_via_timavo generali_italia_spa_ ; _agenzia_padova_centro assicurazioni_generali_ ; _agenzia_generale_di_crema_palazzo_monte_di_pieta' generali_italia_ ; _agenzia_generale_di_piacenza_piazza_dei_cavalli generali_italia_ ; _agenzia_generale_di_treviso generali_italia_ ; generali_italia_spa ; generali_italia_spa ; _agenzia_di_firenze_piazza_stazione generali_italia_spa_ ; _divisione_ina_assitalia_agenzia_generale_di_gioia_del_colle generali_italia_spa ; _guido_reni agenzia_generali_italia_padova_ ; _agenzia_di_savona generali_italia_ ; generali_italia_agenzia_generale_di_cirie'_d'oria ; generali_italia_agenzia_generale_di_formia_via_vitruvio_47 ; generali_italia_agenzia_generale_di_treviso ; generali_italia_como_via_cecilio ; generali_italia_spa ; generali_italia_spa_agenzia_rovereto_rosmini ; generali_italia_spa ; _agenzia_di_abano_terme generali_italia_spa_ ; _agenzia_generale_di_legnano generali_italia_spa_ ; generali_italia_agenzia_generale_di_monza ; agenzia_generali_italia_padova_guido_reni ; generali_italia ; __agenzia_generale_di_reggio generali_italia_ ; _agenzia_di_pisa generali_italia_ ; _agenzia_generale_di_bergamo_porta_nuova generali_italia_ ; _agenzia_generale_di_livorno_via_cairoli generali_italia_ ; generali_italia_agenzia_generale_di_piacenza_piazza_dei_cavalli ; generali_italia_agenzia_milano_via_torino ; generali_italia_spa ; _agenzia_di_borgomanero generali_italia_spa_ ; _agenzia_di_busto_arsizio_viale_borri_33 generali_italia_spa_ ; _agenzia_di_casarano generali_italia_spa_ ; _agenzia_di_foligno generali_italia_spa_ ; _agenzia_di_manerbio generali_italia_spa_ ; _agenzia_di_varese_insubria generali_italia_spa_ ; _chief_business_transformation_officer generali_italia_spa_ ; generali_italia_spa_agenzia_generale_di_monza ; generali_italia_spa_agenzia_generale_di_genova_via_timavo ; generali_italia_spa_agenzia_generale_di_monza_piazza_garibaldi_tribunale ; agenzia_di_generali_italia_spa ; agenzia_generali_generali_italia_dalmine ; agenzia_generali_italia_como ; assicurazioni_generali_agenzia_padova_centro ; bianchi_m_freti_a_marenzi_a_generali_italia ; generali ; generali_italia ; _agenzia_di_livorno_via_cairoli generali_italia_ ; _agenzia_generale_rovereto_rosmini generali_italia_ ; _divisione_ina_assitalia_agenzia_generale_di_salerno generali_italia_ ; _divisione_ina_assitalia_agenzia_generale_di_trapani generali_italia_ ; _firenze_dei_mille generali_italia_ ; generali_italia_–_agenzia_generale_caltagirone_gabelle ; generali_italia_ag_padova ; generali_italia_agenzia_ancona_baraccola ; generali_italia_agenzia_di_savona ; generali_italia_agenzia_generale_di_bergamo_porta_nuova ; generali_italia_agenzia_generale_di_livorno ; generali_italia_agenzia_generale_di_lodi ; generali_italia_agenzia_generale_di_pisa_via_pascoli_reali_e_petrignani_snc ; generali_italia_agenzia_generale_di_venezia_mestre_teatro_vecchio ; generali_italia_agenzia_generale_rovereto_rosmini ; generali_italia_di_la_spezia_pzza_beverini ; generali_italia_divisione_ina_assitalia_agenzia ; generali_italia_divisione_ina_assitalia_agenzia_generale_di_salerno ; generali_italia_foggia_san_lorenzo ; generali_italia_mirano_noale_venezia ; generali_italia_spa_agenzia_generale_di_triggiano ; _agenzia_generale_di_treviglio generali_italia_spa ; _agenzia_di_brescia generali_italia_spa_ ; _agenzia_di_como generali_italia_spa_ ; _agenzia_di_erba_xxv_aprile_50 generali_italia_spa_ ; _agenzia_di_milano_buonarroti generali_italia_spa_ ; _agenzia_di_monza_nord_ _cesano _desio_ generali_italia_spa_ ; _agenzia_di_monza_uffici_di_vimercate_bernareggio generali_italia_spa_ ; _agenzia_di_monza_via_manzoni_viale_libertà generali_italia_spa_ ; _agenzia_di_rho generali_italia_spa_ ; _agenzia_generale_di_monza_largo_xx_aprile_distaccamento_di_sesto_san_giovanni_ _brugherio_ _cusano_milanino generali_italia_spa_ ; _agenzia_generale_di_monza_largo_xxv_aprile_distaccamento_di_monza_via_manzoni_e_cesano_maderno_via_nazionale_dei_giovi generali_italia_spa_ ; generali_italia_spa_agenzia_di_ascoli_piceno ; generali_italia_spa_agenzia_di_busto_arsizio_piazza_trento_e_trieste ; generali_italia_spa_agenzia_di_crema ; generali_italia_spa_agenzia_di_macerata ; generali_italia_spa_agenzia_di_manerbio ; bernareggio generali_italia_spa_agenzia_di_monza_uffici_di_vimercate ; generali_italia_spa_agenzia_di_san_benedetto_del_tronto ; generali_italia_spa_agenzia_di_udine_duomo ; generali_italia_spa_agenzia_generale_piedimonte_matese_liberta' ; generali_italia_spa_divisione_ina_assitalia ; generali_italia_sede_prato ; generali_italia_spa ; generali_italia_spa ; generali_italia_spa_agenzia_generale_di_chiavari_garibaldi ; generali_italia_spa_agenzia_generale_di_legnano ; generali_italia_spa_agenzia_generale_parma_via_farini ; generali_italia_spa_via_liguria__45 ; generali_italia_venezia ; leonardo_assicurazioni_generali_agenzia_di_milano_liberazione ; marchetti_ferri_ferri_generali_italia ; novi_tiziano_agenzia_generale_generali_italia_spa_di_borgomanero_san_marco_(no)"
"7";"akka_technologies ; akka_technologies ; akka ; akka_technologies ; akka_technologies ; akka_energy ; akka_italy ; akka_italia"
"8";"sapiens_spa ; sapiens_spa ; sapiens_spa ; sapiens_spa ; filiale_di_cremona_sapiens_spa ; filiale_di_parma_sapiens_spa ; filiale_di_reggio_emilia_sapiens_spa ; sapiens ; sapiens_spa ; _filiale_di_cremona sapiens_spa_ ; sapiens_spa ; filiale_di_lodi_sapiens_spa ; filiale_di_mantova_sapiens_spa ; sapiens_spa ; sapiens_spa ; sapiensspa ; sapiensspa ; minerva_sapiens ; sapiens_spa ; _filiale_di_lodi sapiens_spa_ ; _filiale_di_parma sapiens_spa_ ; sapiensspa"
"9";"alten_italia_spa ; alten ; alten ; alten_italia ; alten_group ; alten_groupe ; alten_italia_spa ; alten_italia_spa ; alten_italia ; altenbetreuung24 ; hotel_""am_alten_strom""_uta_jahn ; seniorenpflegeheim_st_mari_a_gemeinnützige_st_barbara_altenhilfe_gmbh ; alten_italia_spa ; alten_italia_spa ; society_alten ; verband_katholischer_altenhilfe_in_deutschland_e_v"
"10";"abb ; abb_group"
