"","n_companies","ads_per_company","tot_ads","cum_prop_ads","cum_prop_companies","cum_n_companies"
"1",1,9393,9393,3.56876899696049,0.00210340330655,1
"2",1,4108,4108,5.12955927051672,0.0042068066131,2
"3",1,3763,3763,6.55927051671733,0.00631020991964999,3
"4",1,3294,3294,7.81079027355623,0.00841361322619999,4
"5",1,1799,1799,8.4943009118541,0.01051701653275,5
"6",1,1749,1749,9.15881458966565,0.0126204198393,6
"7",1,1634,1634,9.77963525835866,0.01472382314585,7
"8",1,1571,1571,10.3765197568389,0.0168272264524,8
"9",1,1554,1554,10.9669452887538,0.01893062975895,9
"10",1,1458,1458,11.520896656535,0.0210340330655,10
"11",1,1307,1307,12.0174772036474,0.02313743637205,11
"12",1,1302,1302,12.5121580547112,0.0252408396786,12
"13",1,1262,1262,12.991641337386,0.02734424298515,13
"14",1,1229,1229,13.4585866261398,0.0294476462917,14
"15",1,1173,1173,13.9042553191489,0.03155104959825,15
"16",1,1125,1125,14.3316869300912,0.0336544529048,16
"17",1,1099,1099,14.7492401215805,0.03575785621135,17
"18",1,1092,1092,15.1641337386018,0.0378612595179,18
"19",1,1073,1073,15.5718085106383,0.03996466282445,19
"20",1,1030,1030,15.9631458966565,0.042068066131,20
"21",1,838,838,16.2815349544073,0.04417146943755,21
"22",1,766,766,16.5725683890577,0.0462748727441,22
"23",1,734,734,16.851443768997,0.04837827605065,23
"24",1,716,716,17.1234802431611,0.0504816793572,24
"25",1,715,715,17.3951367781155,0.0525850826637499,25
"26",1,687,687,17.6561550151976,0.0546884859702999,26
"27",1,666,666,17.9091945288754,0.0567918892768499,27
"28",1,658,658,18.1591945288754,0.0588952925833999,28
"29",1,646,646,18.4046352583587,0.0609986958899499,29
"30",1,642,642,18.648556231003,0.0631020991964999,30
"31",1,628,628,18.8871580547112,0.0652055025030499,31
"32",1,623,623,19.1238601823708,0.0673089058095999,32
"33",1,622,622,19.3601823708207,0.0694123091161499,33
"34",1,615,615,19.5938449848024,0.0715157124226999,34
"35",1,614,614,19.8271276595745,0.0736191157292499,35
"36",1,589,589,20.0509118541033,0.0757225190357999,36
"37",1,585,585,20.2731762917933,0.0778259223423499,37
"38",1,584,584,20.4950607902736,0.0799293256488999,38
"39",1,581,581,20.7158054711246,0.0820327289554499,39
"40",1,555,555,20.9266717325228,0.0841361322619999,40
"41",1,552,552,21.1363981762918,0.0862395355685499,41
"42",1,540,540,21.3415653495441,0.0883429388750999,42
"43",1,529,529,21.5425531914894,0.0904463421816499,43
"44",1,523,523,21.7412613981763,0.0925497454881999,44
"45",1,518,518,21.9380699088146,0.0946531487947499,45
"46",1,514,514,22.133358662614,0.0967565521012999,46
"47",1,491,491,22.3199088145897,0.0988599554078499,47
"48",1,489,489,22.5056990881459,0.1009633587144,48
"49",1,483,483,22.6892097264438,0.10306676202095,49
"50",1,479,479,22.8712006079027,0.1051701653275,50
"51",1,462,462,23.0467325227964,0.10727356863405,51
"52",1,437,437,23.2127659574468,0.1093769719406,52
"53",1,433,433,23.3772796352584,0.11148037524715,53
"54",2,429,858,23.7032674772036,0.11568718186025,55
"55",1,424,424,23.8643617021277,0.1177905851668,56
"56",1,420,420,24.0239361702128,0.11989398847335,57
"57",1,419,419,24.1831306990881,0.1219973917799,58
"58",1,418,418,24.3419452887538,0.12410079508645,59
"59",1,406,406,24.4962006079027,0.126204198393,60
"60",1,403,403,24.6493161094225,0.12830760169955,61
"61",1,396,396,24.7997720364742,0.1304110050061,62
"62",1,390,390,24.9479483282675,0.13251440831265,63
"63",2,389,778,25.2435410334346,0.13672121492575,65
"64",1,377,377,25.3867781155015,0.1388246182323,66
"65",1,373,373,25.5284954407295,0.14092802153885,67
"66",1,370,370,25.6690729483283,0.1430314248454,68
"67",1,366,366,25.8081306990881,0.14513482815195,69
"68",1,360,360,25.9449088145897,0.1472382314585,70
"69",1,351,351,26.0782674772036,0.14934163476505,71
"70",2,341,682,26.3373860182371,0.15354844137815,73
"71",2,322,644,26.5820668693009,0.15775524799125,75
"72",1,315,315,26.7017477203647,0.1598586512978,76
"73",1,314,314,26.8210486322188,0.16196205460435,77
"74",1,313,313,26.9399696048632,0.1640654579109,78
"75",1,312,312,27.0585106382979,0.16616886121745,79
"76",1,308,308,27.1755319148936,0.168272264524,80
"77",1,303,303,27.2906534954407,0.17037566783055,81
"78",1,302,302,27.4053951367781,0.1724790711371,82
"79",2,301,602,27.6341185410334,0.1766858777502,84
"80",1,297,297,27.7469604863222,0.17878928105675,85
"81",1,292,292,27.8579027355623,0.1808926843633,86
"82",1,291,291,27.9684650455927,0.18299608766985,87
"83",1,286,286,28.0771276595745,0.1850994909764,88
"84",1,284,284,28.1850303951368,0.18720289428295,89
"85",1,282,282,28.2921732522796,0.1893062975895,90
"86",2,281,562,28.5056990881459,0.1935131042026,92
"87",1,280,280,28.6120820668693,0.19561650750915,93
"88",1,279,279,28.718085106383,0.1977199108157,94
"89",1,277,277,28.8233282674772,0.19982331412225,95
"90",1,276,276,28.9281914893617,0.2019267174288,96
"91",1,268,268,29.0300151975684,0.20403012073535,97
"92",2,265,530,29.2313829787234,0.20823692734845,99
