"";"companyname";"Freq"
"2";"offerta_di_lavoro_da_jobtome";34970
"3";"offerta_di_lavoro_da_wizbii";19671
"4";"manpower";18972
"5";"gi_group_spa";15465
"6";"gi_group";15461
"7";"adecco";13435
"8";"jobleads_gmbh";13226
"9";"randstad_italia_spa";9472
"10";"openjobmetis_spa_agenzia_per_il_lavoro";8833
"11";"tiptopjobcom";8816
"12";"page_personnel";7412
"13";"orienta";7310
"14";"adecco_italia_spa";7257
"15";"gi_group_spa";7198
"16";"synergie_italia";6874
"17";"etjca_spa";5507
"18";"randstad";5459
"19";"randstad_italia_spa";5029
"20";"manpower_italia_srl";4581
"21";"randstad_italia";4295
"22";"ali_spa";4281
"23";"lavoropiù_spa";4244
"24";"synergie_italia_spa";4179
"25";"gi_group_spa";3811
"26";"openjobmetis_spa";3649
"27";"randstad_italia_spa";3597
"28";"manpower_srl";3508
"29";"adecco_italia_spa";3375
"30";"michael_page";3317
"31";"azienda";3166
"32";"maw_men_at_work_spa";3084
"33";"manpower";3004
"34";"toptata";2946
"35";"during";2927
"36";"adecco_italia_spa";2865
"37";"_agenzia_per_il_lavoro axl_spa_";2599
"38";"lavoropiù_spa";2483
"39";"offerta_di_lavoro_da_neuvoo";2452
"40";"adecco_italia_spa";2391
"41";"page_personnel_italia_spa";2188
"42";"gi_group";2173
"43";"randstad_italia_spa";2159
"44";"orienta_spa";2155
"45";"la_risorsa_umanait_srl";2146
"46";"experis";2141
"47";"umana_spa";2092
"48";"sitly";2088
"49";"italyxpatjobscom";2081
"50";"archimede";1976
"51";"randstad_italia_spa";1933
"52";"in_job_spa";1904
"53";"quanta_spa";1901
"54";"digital_gut";1793
"55";"eurointerim_spa";1776
"56";"synergie_italia_spa";1766
"57";"archimede_spa";1745
"58";"archimede";1675
"59";"la_risorsa_umanait_srl";1673
"60";"synergie";1653
"61";"umana";1648
"62";"prontopro";1627
"63";"adecco_italia_spa";1609
"64";"page_personnel_italia";1594
"65";"gi_group_spa";1572
"66";"temporary_spa";1553
"67";"la_risorsa_umana";1521
"68";"wyser";1507
"69";"etjca_spa";1371
"70";"_agenzia_per_il_lavoro orienta_";1329
"71";"manpower_italia";1313
"72";"iqm_selezione_srl";1298
"74";"etjca";1247
"75";"humangest_spa";1228
"76";"openjobmetis";1216
"77";"offerta_di_lavoro_da_experteer";1193
"78";"work";1148
"79";"lavorint_spa";1147
"80";"adhr_group";1120
"81";"offerta_di_lavoro_da_neuvoo_premium";1118
"82";"adecco";1102
"83";"relizont";1089
"84";"humangest_spa";1077
"85";"adhr_group_spa";1071
"86";"ali_spa";1045
"87";"maw_men_at_work_spa";1037
"88";"iqm_selezione_srl";1030
"89";"axcent";1025
"90";"umana";1005
"91";"eurointerim";981
"92";"adhr_group";961
"93";"gi_group_spa";959
"94";"manpower_italia_srl";932
"95";"letuelezioni";930
"96";"wyser_srl";924
"97";"spring_italy";874
"98";"_agenzia_per_il_lavoro tempor_spa_";872
"99";"adhr_spa";851
"100";"staff_spa";851
"101";"work_spa";845
"102";"e_work_spa";826
"103";"ali_spa";822
"104";"maw_men_at_work";816
"105";"ali";807
"106";"la_risorsa_umanait_srl";804
"107";"spring_professional";801
"108";"cosmo_di_marco";798
"109";"axl_spa_agenzia_per_il_lavoro";794
"110";"work_spa";773
"111";"sida_group";766
"112";"job_just_on_business";755
"113";"nexus";753
"114";"hrspecialistitalia";744
"115";"experis_gruppo_manpower_srl";742
"116";"during_spa";739
"117";"synergie_italia_spa";718
"118";"michael_page_international";715
"119";"green4you_srls";709
"120";"gi_group";699
"121";"ali_spa";691
"122";"openjobmetis_spa";681
