"";"companyname";"Freq"
"123";"hays";680
"124";"randstad_italia_spa";679
"125";"_agenzia_per_il_lavoro umana_";677
"126";"areajob_spa";669
"127";"just_on_business";664
"128";"agenzia_per_il_lavoro axl_spa";652
"129";"job_italia_spa";641
"130";"areajob_spa";637
"131";"orienta_spa";632
"132";"fincons_spa";631
"133";"_gruppo_de_pasquale ig_";625
"134";"relizont_spa";625
"135";"feres_agenzia_per_il_lavoro_spa";620
"136";"manpowergroup";606
"137";"letuelezioni";605
"138";"kelly_services_spa";598
"139";"generali_italia_spa";593
"140";"akka_technologies";592
"141";"gruppo_orienta";590
"142";"umana_spa";571
"143";"digital_gut_srl";570
"144";"knet_human_resources_srl";569
"145";"synergie_italia_spa";569
"146";"humangest_spa";568
"147";"sapiens_spa";568
"148";"tempor_spa";561
"149";"axcent_company";559
"150";"temporary_spa";554
"151";"cliccalavoro";550
"152";"netmi_agenzia_per_il_lavoro_spa";550
"153";"mediamatch";543
"154";"alten_italia_spa";533
"155";"maw_men_at_work_spa";532
"156";"kelly_services_spa";531
"157";"articolo1";528
"158";"atempo_spa";527
"159";"osm_lavoro";527
"160";"kelly_services";525
"161";"lavorint";525
"162";"adhr_group_–_agenzia_per_il_lavoro_spa";522
"163";"impiego24";516
"164";"oasi_lavoro";512
"165";"tempor_spa";502
"166";"maw";500
"167";"yoopies";498
"168";"temporary_spa";496
"169";"oggi_lavoro_srl";487
"170";"abb";481
"171";"la_risorsa_umanait";477
"172";"randstad_italia_spa";476
"173";"easy_talent";474
"174";"risorse_spa";472
"175";"umana_spa";461
"176";"areajob_spa_agenzia_per_il_lavoro";457
"177";"generazione_vincente_spa";457
"178";"technical_hunters";456
"179";"knet_human_resources";455
"180";"high_professional";451
"181";"manpower_italia_srl";444
"182";"openjobmetis";432
"183";"work_spa";430
"184";"ets_nexus_spa";424
"185";"agenziapiù";422
"186";"la_risorsa_umanait";422
"187";"power";421
"188";"accenture";420
"189";"iqm_selezione";420
"190";"temporary_spa";419
"191";"job_just_on_business_spa";417
"192";"inventa_cpm_srl";416
"193";"relizont_spa";416
"194";"life_in_spa";412
"195";"m&g_holding_srl";412
"196";"eurointerim_spa";411
"197";"tempor_spa";405
"198";"generazione_vincente_spa";404
"199";"helplavoro";403
"200";"verisure_italy";400
"201";"labor_spa";399
"202";"humangest";398
"203";"sida_group";393
"204";"amazon";384
"205";"relizont_spa";383
"206";"milanoexe";376
"207";"atempo_spa";370
"208";"staff_spa";366
"209";"randstad_inhouse_services_divisione_di_randstad_italia_spa";363
"210";"job_just_on_business_spa";355
"211";"wintime_spa";348
"212";"archimede_spa";347
"213";"life_in";343
"214";"oggi_lavoro_srl";343
"215";"m&g";341
"216";"la_risorsa_umana";339
"217";"qibit";334
"218";"antal_international";333
"219";"lidl";331
"220";"openjobmetis_spa_agenzia_per_il_lavoro";331
"221";"page_personnel_italia_spa";324
"222";"altran";323
"223";"relizont";323
"224";"job_italia_spa";322
"225";"gigroup";319
"226";"lenergia_spa";318
"227";"adecco_italia_spa";316
"228";"experis_srl";315
"229";"sanipiù";315
"230";"jobleads";312
"231";"sicuritalia_spa";311
"232";"work";309
"233";"gi_group_spa";308
"234";"lavoropiù";308
"235";"life_in_spa";307
"236";"babysits";306
"237";"lidl_it";306
"238";"axl_spa";305
"239";"gruppo_sopranciodue";305
"240";"kelly_services_spa";305
"241";"pagepersonnel";302
"242";"archimede_spa";301
"243";"dentalpro";299
"244";"kering";298
"245";"s&you";297
"246";"randstad_professionals";296
"247";"staff";296
"248";"atempo_spa";294
"249";"synergie_italia_spa";293
"250";"tempi_moderni_spa";291
"251";"amministrazione";290
"252";"superprof";289
"253";"inventacpm_srl";288
"254";"hash";287
"255";"alten";286
"256";"umana_spa";286
"257";"orienta_spa";284
"258";"sicuritalia";284
"259";"axl_spa";283
"260";"ali_spa";281
"261";"innovative_management_services_srl";280
"262";"lavoro_mio_spa";280
"263";"atos";277
"264";"lovati_&_associati";277
"265";"umana_agenzia_per_il_lavoro";277
"266";"ferrovie_dello_stato";276
"267";"nonstop_recruitment";275
"268";"randstad_italia_spa";275
"269";"only_job_srl";274
"270";"deloitte";273
"271";"lavoropiu'_spa_agenzia_per_il_lavoro";273
"272";"m&ampg_holding_srl";271
"273";"wwwsubitoit";270
"274";"kasanova";266
"275";"michael_page_international_italia_srl";266
"276";"sopran_spa";264
"277";"etjca_spa";262
"278";"unimpiego_confindustria";261
"279";"randstad_italia_spa";257
"280";"in_job";253
"281";"risorse_spa";251
"282";"umana_spa";251
"283";"confidential";250
"284";"nous_srl";250
"285";"archimede_spa";248
"286";"ig_gruppo_de_pasquale";247
"287";"e_work";245
"288";"e_work_spa";244
"289";"quanta_spa";242
"290";"accent";241
"291";"quanta_spa";241
"292";"fondazione_patrizio_paoletti";240
"293";"manpower_srl";240
"294";"maw_men_at_work_spa";236
"295";"carrefour";234
"296";"monster_italia_srl";234
"297";"maw";231
"298";"esselunga";229
"299";"praxi";228
"300";"professional_values_italia_srl";228
"301";"staff_spa";228
"302";"atena_spa";227
"303";"staff_spa";227
"304";"ig_samsic_hr";226
"305";"kritek_sro";226
"306";"orienta_agenzia_per_il_lavoro";226
"307";"e_work";225
"308";"bennet";222
"309";"hays_response";222
"310";"aizoon";221
"311";"tempor";220
"312";"construfy";219
"313";"centri_vitaldent";217
"314";"quanta";217
"315";"areajob";215
"316";"suitex_international";215
"317";"filiale_di_milano_synergie_italia_spa";214
"318";"yamamay";214
"319";"tempor_spa_agenzia_per_il_lavoro";213
"320";"gdopiù";211
"321";"humangest_spa";211
"322";"ikea";210
"323";"wyser_it";210
"324";"geox";209
"325";"_italian_automotive_dealer_association iada_";209
"326";"umana_spa";208
"327";"work_on_time_spa";208
"328";"cercasi_sas";205
"329";"fourstars";205
"330";"hr_partner_italia";205
"331";"maw_men_at_work_spa";205
"332";"technical_hunter_srl";203
"333";"amadori";201
"334";"una_forza_vendite";201
"335";"barilla";200
"336";"m&ampg_coopertiva_multiservizi";200
"337";"optima_italia_spa";200
"338";"_agenzia_per_il_lavoro etjca_";199
"339";"sephora";199
"340";"_al_cuore_dei_vostri_progetti s&you_";196
"341";"technical_hunters_srl";196
"342";"work_agency";196
"343";"generali";195
"344";"gi_group_spa";195
"345";"kelly_services_spa";194
"346";"maw_men_at_work_spa";194
"347";"sanofi";194
"348";"ifoa_management_srl";193
"349";"salespeople";193
"350";"axl";192
"351";"t_power";192
"352";"iprogrammatori_srl";191
"353";"direzione_lavoro_group_spa";190
"354";"gruppo_pam";190
"355";"unicredit_srl";190
"356";"drd_recruiting_srl";189
"357";"inhr_group";189
"358";"manpower_srl";189
"359";"akka_technologies";188
"360";"hays_srl";188
"361";"m&g";188
"362";"areajob";186
"363";"kpmg";186
"364";"lavorint_spa";186
"365";"pwc";185
"366";"adecco_italia_spa";184
"367";"gazzetta_ufficiale";184
"368";"openjobmetis_spa";184
"369";"yves_rocher";184
"370";"adecco_spa";183
"371";"bnp_paribas";183
"372";"calzedonia";183
"373";"seaz_srl";183
"374";"esprimo_srl";182
"375";"filiale_di_verona_produzione_adecco_italia_spa";182
"376";"ld_market";182
"377";"nifra_srl";182
"378";"technogym";182
"379";"volkswagen";182
"380";"hunters_group";181
"381";"thermo_fisher_scientific";181
"382";"milano_executive_search";180
"383";"perpiù";180
"384";"bimbo_store";179
"385";"i_k_hofmann_gmbh";179
"386";"living_business";179
"387";"agenzia_lavoro";178
"388";"desigual";178
"389";"md_spa";178
"390";"akka";177
"391";"euromec2";177
"392";"ferrero";177
"393";"manpower_srl";175
"394";"brembo";174
"395";"open_source_management";174
"396";"footlocker";173
"397";"gallas_group";173
"398";"swatch";173
"399";"compagnia_generale_ristorazione_spa";172
"400";"arkigest_srl";170
"401";"cartorange_srl";170
"402";"intesa_san_paolo";170
"403";"kiko";170
"404";"unimpiego_confindustria";170
"405";"adecco_italia_spa";169
"406";"salespeople_srl";168
"407";"alti_profili";167
"408";"seaz_srl";167
"409";"wycon_spa";167
"410";"badenoch_+_clark";166
"411";"intesa_sanpaolo_bank";166
"412";"stroili_oro";166
"413";"dainese";165
"414";"msc_crociere";165
"415";"profili_srl";165
"416";"accor_hotels";164
"417";"adhr_group_spa";164
"418";"burger_king";164
"419";"lovable";164
"420";"mondo_convenienza";164
"421";"quojobis";163
"422";"_school_of_management radar_business_academy_";163
"423";"simply_market";163
"424";"coca_cola";162
"425";"culligan_spa";162
"426";"generazione_vincente";162
"427";"hrspecialist_italia";162
"428";"ifoa_management";162
"429";"peter_pan_entertainment";162
"430";"temporary";162
"431";"goldenpoint_spa";161
"432";"virgin_active_italia_spa";161
"433";"decathlon_italia_srl";160
"434";"philmark_group";160
"435";"salmoiraghi_e_viganò";160
"436";"deichmann";159
"437";"gigante";159
"438";"norauto";159
"439";"agentscout";158
"440";"leroy_merlin_spa";158
"441";"mediaworld_spa";158
"442";"seltis";158
"443";"altabrianza_lavoro";157
"444";"inhr_agenzia_per_il_lavoro_srl";157
"445";"niuma_srl";157
"446";"penny_market";157
"447";"scai";157
"448";"supermercati_tosano";157
"449";"wells_fargo";157
"450";"bricocenter";156
"451";"liquigas_spa";156
"452";"best_western";155
"453";"carpisa";155
"454";"lidl";155
"455";"reliable_level_srl";155
"456";"adami_&_associati";154
"457";"eurospin";154
"458";"fourstars_srl";154
"459";"lavorint_spa";154
"460";"mib_service_srl";153
"461";"randstad_italia";153
"462";"snam_spa";153
"463";"centro_studi_srl";152
"464";"globo_moda";152
"465";"gruppo_fidelitas_spa";152
"466";"itconsulting_srl";152
"467";"esse m_studio_srl";151
"468";"famila";151
"469";"golden_lady_spa";151
"470";"leroy_merlin";151
"471";"scarpe_&_scarpe";151
"472";"consoft_informatica_srl";150
"473";"grandvision_italy_srl";150
"474";"next_spa";150
"475";"_area_ict umana_";150
"476";"umana_spa";150
"477";"andrea_poletti_&_associati_srl";149
"478";"best_option_media";149
"479";"bricoman";149
"480";"iper";149
"481";"prima_donna";149
"482";"wiener_haus";149
"483";"knet_human_resources";148
"484";"old_wild_west";148
"485";"tempi_moderni";148
"486";"wyser_srl_a_socio_unico";148
"487";"gls_corriere_espresso";147
"488";"openjobmetis_spa";147
"489";"orienta_spa";147
"490";"poltrone_e_sofa";147
"491";"24ore_business_school";146
"492";"bticino_spa";146
"493";"human_value_srl";146
"494";"atm";145
"495";"azienda_anonima";145
"496";"bureau_veritas";145
"497";"gardaland";145
"498";"l'occitane_en_provence";145
"499";"natura_si";145
"500";"andrea_poletti_&_associati";144
"501";"dmail";144
"502";"humangest_spa";144
"503";"opportunityjob";144
"504";"eterea_srl";143
"505";"intempo";143
"506";"altran";142
"507";"eataly";142
"508";"iscs_srls";142
"509";"itconsulting_srl";142
"510";"la_rinascente_spa";142
"511";"maisons_du_monde_spa";142
"512";"ovs_spa";142
"513";"filiale_di_roma_tiburtina_praxi_spa";141
"514";"sida_group";141
"515";"infor_group_spa";140
"516";"arco group";139
"517";"ig_gruppo_de_pasquale";139
"518";"l'arte_di_abitare";139
"519";"optima_spa";139
"520";"osm_network_srl";139
"521";"asd_toptour";138
"522";"aaron_king_international";138
"523";"agripiù";138
"524";"goldenpoint_spa";138
"525";"iqvia";138
"526";"apple_spa";137
"527";"cronosharecom";137
"528";"maxi_zoo_italia_spa";137
"529";"sapiens_spa";137
"530";"dpv_spa";136
"531";"futurenergy_rinnovabile_srl";136
"532";"gsk";136
"533";"gruppo_fema";135
"534";"risorse_spa";135
"535";"automobili_lamborghini_holding_spa";134
"536";"lovati&associati";134
"537";"starbucks";134
"538";"verisure";134
"539";"adhr";133
"540";"axl_spa";133
"541";"my_chef_ristorazione_commerciale";133
"542";"roadhouse";133
"543";"cooperjob";132
"544";"divisione_it_roma_synergie_italia_spa";132
"545";"om_group";132
"546";"workforce_on_line_spa";132
"547";"andrea_poletti_e_associati_srl";131
"548";"human_value_srl";131
"549";"intesa_sanpaolo";131
"550";"lutech_spa";131
"551";"number_one_srl";131
"552";"staff_spa";131
"553";"cooperjob_spa_agenzia_per_il_lavoro";130
"554";"etjca_spa";130
"555";"scai_spa";130
"556";"alti_profili";129
"557";"areajob_spa";128
"558";"assistenza_domestica";128
"559";"_men_at_work_spa maw_";128
"560";"optima_italia_spa";128
"561";"amaris";127
"562";"dentistatv";127
"563";"gi_group_spa";127
"564";"metro";127
"565";"work_in_progress_sas_di_primieri_simona";127
"566";"clayton_italia";126
"567";"esprimo_milano";126
"568";"life_in_spa";126
"569";"noreply";126
"570";"sapiens_spa";126
"571";"temporary_spa";126
"572";"intempo_spa";125
"573";"art_swiss_entertainment";124
"574";"avangarde_consulting_srl";124
"575";"gi_group_spa";124
"576";"gigroup";124
"577";"herbrooks_consulting_srl";124
"578";"humangest_spa";124
"579";"kiron_partner_spa";124
"580";"salespeople";124
"581";"spindox_spa";124
"582";"cigierre";123
"583";"virgin_active";123
"584";"àncora_servizi_soc_coop_soc";122
"585";"quanta_agenzia_per_il_lavoro_spa";122
"586";"tigros_spa";122
"587";"autogrill_spa";121
"588";"risorse_spa";121
"589";"amazoncom";120
"590";"atenajob";120
"591";"berner_spa";120
"592";"fincantieri_spa";120
"593";"italo";120
"594";"obi_italia";120
"595";"thermo_fisher_scientific_inc";119
"596";"badenoch_&_clark";118
"597";"deliveroo";118
"598";"everse";118
"599";"cigierre";117
"600";"decathlon_italia_srl";117
"601";"percassi";117
"602";"staff_spa";117
"603";"filiale_di_bologna_calda_adecco_italia_spa";116
"604";"hays_srl";116
"605";"marriott";116
"606";"gruppo_topteam";115
"607";"lavoro_mio_spa";115
"608";"salcom_srl";115
"609";"sintex_selezione_personale_srl";115
"610";"eurointerim_spa";114
"611";"radar_consulting_italia_srl";114
"612";"seltis_srl";114
"613";"inhr_agenzia_per_il_lavoro_spa";113
"614";"m&g_holding";113
"615";"obi";113
"616";"poste_italiane_spa";113
"617";"quojobis";113
"618";"unimpiego_confindustria_srl";113
"619";"articolo1_srl";112
"620";"atempo";112
"621";"ictpiù";112
"622";"solutions_spa txt_e";112
"623";"tigros";111
"624";"top_animation_team";111
"625";"una_forza_vendite_srl";111
"626";"articolo1";110
"627";"living_business_sas";110
"628";"mconsulting";110
"629";"praxi_spa";110
"630";"w_srl";110
"631";"adhr_group_agenzia_per_il_lavoro_spa";109
"632";"aggiungi_bakeca";109
"633";"coop";109
"634";"despar";109
"635";"instapro";109
"636";"lush";109
"637";"optima";109
"638";"studio_emme";109
"639";"amazoncom_inc";108
"640";"cir_food_cooperativa_italiana_di_ristorazione_sc";108
"641";"no_problem_srl";108
"642";"piazza_italia_spa";108
"643";"teamsoft_servizi_professionali";108
"644";"bep's";107
"645";"cpl_&_taylor";107
"646";"ernesto";107
"647";"iqm_selezione";107
"648";"myevents_italia_asd";107
"649";"nam_spa";107
"650";"optima_italia_area_commerciale";107
"651";"synergie_italia_spa";107
"652";"alstom";106
"653";"porterage_srls";106
"654";"rolleri_cultura_d'impresa";106
"655";"gpi_spa";105
"656";"oggi_lavoro";105
"657";"_area_commerciale optima_italia_";105
"658";"filiale_di_pesaro_buozzi_manpower_italia_srl";104
"659";"gruppo_toscano_spa";104
"660";"_school_of_management radar_academy_";104
"661";"european_organisational_research_group_ltd";103
"662";"job_italia";103
"663";"peter_pan_entertainment";103
"664";"progetto_lavoro";103
"665";"sidgenerali";103
"666";"una_forza_vendite_srl";103
"667";"arkigest_srl";102
"668";"covisian_spa";102
"669";"ifoa_management_srl";102
"670";"inhr_agenzia_per_il_lavoro_spa";102
"671";"lavoropiù_spa";102
"672";"mediatica_spa";102
"673";"nau_spa";102
"674";"westhouse";102
"675";"proxima_informatica_spa";101
"676";"reclutamento_40";101
"677";"sapiens_spa";101
"678";"antal_international_network";100
"679";"articolo_1_agenzia_per_il_lavoro_srl";100
"680";"aspiag_service_srl";100
"681";"fashionpiù";100
"682";"filiale_di_modena_fabrizi_manpower_italia_srl";100
"683";"generali_group";100
"684";"m&g_holding_srl";100
