"","x"
"1","axcent"
"2","sida_group"
"3","nexus"
"4","fincons_spa"
"5","generali_italia_spa"
"6","akka_technologies"
"7","sapiens_spa"
"8","axcent_company"
"9","alten_italia_spa"
"10","abb"
"11","power"
"12","verisure_italy"
"13","sida_group"
"14","amazon"
"15","lidl"
"16","altran"
"17","lenergia_spa"
"18","sicuritalia_spa"
"19","lidl_it"
"20","gruppo_sopranciodue"
"21","dentalpro"
"22","kering"
"23","hash"
"24","alten"
"25","sicuritalia"
"26","atos"
"27","ferrovie_dello_stato"
"28","deloitte"
"29","kasanova"
"30","sopran_spa"
"31","fondazione_patrizio_paoletti"
"32","carrefour"
"33","esselunga"
"34","ig_samsic_hr"
"35","kritek_sro"
"36","bennet"
"37","aizoon"
"38","construfy"
"39","centri_vitaldent"
"40","yamamay"
"41","ikea"
"42","geox"
"43","_italian_automotive_dealer_association iada_"
"44","amadori"
"45","barilla"
"46","optima_italia_spa"
"47","sephora"
"48","generali"
"49","sanofi"
"50","t_power"
"51","gruppo_pam"
"52","akka_technologies"
"53","kpmg"
"54","pwc"
"55","yves_rocher"
"56","bnp_paribas"
"57","calzedonia"
"58","ld_market"
"59","technogym"
"60","volkswagen"
"61","thermo_fisher_scientific"
"62","milano_executive_search"
"63","perpiù"
"64","bimbo_store"
"65","desigual"
"66","md_spa"
"67","akka"
"68","euromec2"
"69","ferrero"
"70","brembo"
"71","open_source_management"
"72","footlocker"
"73","swatch"
"74","compagnia_generale_ristorazione_spa"
"75","intesa_san_paolo"
"76","kiko"
"77","wycon_spa"
"78","intesa_sanpaolo_bank"
"79","stroili_oro"
"80","dainese"
"81","msc_crociere"
"82","accor_hotels"
"83","burger_king"
"84","lovable"
"85","mondo_convenienza"
"86","_school_of_management radar_business_academy_"
"87","simply_market"
"88","coca_cola"
"89","culligan_spa"
"90","peter_pan_entertainment"
"91","goldenpoint_spa"
"92","virgin_active_italia_spa"
"93","philmark_group"
"94","salmoiraghi_e_viganò"
"95","deichmann"
"96","gigante"
"97","norauto"
"98","leroy_merlin_spa"
"99","mediaworld_spa"
"100","penny_market"
"101","scai"
"102","supermercati_tosano"
"103","wells_fargo"
"104","bricocenter"
"105","liquigas_spa"
"106","best_western"
"107","carpisa"
"108","lidl"
"109","eurospin"
"110","globo_moda"
"111","gruppo_fidelitas_spa"
"112","famila"
"113","golden_lady_spa"
"114","leroy_merlin"
"115","scarpe_&_scarpe"
"116","best_option_media"
"117","bricoman"
"118","iper"
"119","prima_donna"
"120","wiener_haus"
"121","old_wild_west"
"122","gls_corriere_espresso"
"123","poltrone_e_sofa"
"124","24ore_business_school"
"125","bticino_spa"
"126","atm"
"127","bureau_veritas"
"128","gardaland"
"129","l'occitane_en_provence"
"130","natura_si"
"131","dmail"
"132","altran"
"133","eataly"
"134","la_rinascente_spa"
"135","maisons_du_monde_spa"
"136","ovs_spa"
"137","sida_group"
"138","arco group"
"139","l'arte_di_abitare"
"140","optima_spa"
"141","asd_toptour"
"142","agripiù"
"143","goldenpoint_spa"
"144","iqvia"
"145","apple_spa"
"146","cronosharecom"
"147","maxi_zoo_italia_spa"
"148","sapiens_spa"
"149","dpv_spa"
"150","gsk"
"151","gruppo_fema"
"152","automobili_lamborghini_holding_spa"
"153","starbucks"
"154","verisure"
"155","my_chef_ristorazione_commerciale"
"156","roadhouse"
"157","om_group"
"158","intesa_sanpaolo"
"159","lutech_spa"
"160","scai_spa"
"161","optima_italia_spa"
"162","amaris"
"163","dentistatv"
"164","metro"
"165","clayton_italia"
"166","esprimo_milano"
"167","sapiens_spa"
"168","art_swiss_entertainment"
"169","kiron_partner_spa"
"170","spindox_spa"
"171","cigierre"
"172","virgin_active"
"173","àncora_servizi_soc_coop_soc"
"174","tigros_spa"
"175","autogrill_spa"
"176","amazoncom"
"177","berner_spa"
"178","fincantieri_spa"
"179","italo"
"180","obi_italia"
"181","thermo_fisher_scientific_inc"
"182","deliveroo"
"183","cigierre"
"184","percassi"
"185","marriott"
"186","obi"
"187","poste_italiane_spa"
"188","solutions_spa txt_e"
"189","tigros"
"190","top_animation_team"
"191","despar"
"192","lush"
"193","optima"
"194","amazoncom_inc"
"195","cir_food_cooperativa_italiana_di_ristorazione_sc"
"196","piazza_italia_spa"
"197","teamsoft_servizi_professionali"
"198","bep's"
"199","cpl_&_taylor"
"200","myevents_italia_asd"
"201","optima_italia_area_commerciale"
"202","alstom"
"203","gpi_spa"
"204","_area_commerciale optima_italia_"
"205","gruppo_toscano_spa"
"206","_school_of_management radar_academy_"
"207","european_organisational_research_group_ltd"
"208","peter_pan_entertainment"
"209","sidgenerali"
"210","covisian_spa"
"211","mediatica_spa"
"212","nau_spa"
"213","proxima_informatica_spa"
"214","sapiens_spa"
"215","fashionpiù"
"216","generali_group"
