"";"Freq";"companyname1";"if_agency1";"companyname2";"if_agency2";"companyname3";"if_agency3";"companyname4";"if_agency4";"companyname5";"if_agency5"
"50";49;"agenzia_caruso_roberto_impresario";NA;"bip_buisness_integration_partners";NA;"cbre";NA;"energia&engineering";NA;"gm_consulting";NA
"51";48;"azienda_trasporti_milanesi_spa";NA;"bialetti";NA;"cedacri_group";NA;"edison";NA;"immobiliareit";NA
"52";47;"agrifarma_spa";NA;"cubo";NA;"villaggi_e_tribu'";NA;NA;NA;NA;NA
"53";46;"baumann";NA;"baumann_sideloaders";NA;"cpl_concordia_soc_coop";NA;"demar";NA;"dgs_spa";NA
"54";45;"arcelormittal";NA;"belron_italia_spa_a_socio_unico";NA;"faby";NA;"fondazione_progetto_arca_onlus";NA;"giuseppe";NA
"55";44;"accademia_britannica";NA;"blukids";NA;"developing_gallarate";NA;"egovaleo";NA;"francesco";NA
"56";43;"adm_group";NA;"bosch_group";NA;"dem";NA;"department_of_the_army";NA;"farm_spa";NA
"57";42;"alleanza_assicurazioni_spa";NA;"andreapoletti&associati";NA;"axitea_spa";NA;"azienda_riconosciuta";NA;"costa_crociere";NA
"58";41;"altea_federation";NA;"biosalus";NA;"c&s";NA;"cegeka_spa";NA;"emerson";NA
"59";40;"abenergie_spa";NA;"allstar";NA;"credit_agricole";NA;"famoso_salvatore_cristiano";NA;"future_drive";NA
"60";39;"_agenzia_formativa time_vision_scarl_";NA;"bayker_italia_spa";NA;"boehringer_ingelheim";NA;"demt";NA;"edynet";NA
"61";38;"barton_group";NA;"estee_lauder_companies";NA;"evo_imprese";NA;"grizzly_italia";NA;"hostess_management_art";NA
"62";37;"a2a_spa";NA;"desc_snc";NA;"eismann";NA;"eurofins";NA;"gsxecutive";NA
"63";36;"arethusa";NA;"axa";NA;"begear";NA;"bombardier";NA;"centri_dentistici_primo";NA
"64";35;"aubay_italia";NA;"brt_spa";NA;"coopselios";NA;"edison_spa";NA;"gm_servizi";NA
"65";34;"aecom";NA;"aesys_spa";NA;"biemme_consulting_sas";NA;"ecipar";NA;"gft_se";NA
"66";33;"aconex";NA;"agic_technology";NA;"antonio";NA;"distributore_indipendente";NA;"ditta_individuale";NA
"67";32;"agm_solutions";NA;"akqa_inc";NA;"bergamo_divise";NA;"demon_italia";NA;"gamestop";NA
"68";31;"belinked";NA;"biauto_group";NA;"consorzio_sociale";NA;"consulmarche";NA;"cooperativa_sociale_elleuno_scs";NA
"69";30;"biemme_consulting";NA;"cesvip_lombardia";NA;"ciesse";NA;"eaton";NA;"essity";NA
"70";29;"advisors_corporation_sa";NA;"agenzia_immobiliare";NA;"alfa";NA;"beauty_&_business_spa";NA;"camst_soc_coop_a_rl";NA
"71";28;"ac&d_technologies";NA;"aubay";NA;"auchan_retail_italia";NA;"banca_ifis_spa";NA;"bluserena";NA
"72";27;"aruba";NA;"b&a_partners";NA;"beta_80_group";NA;"bricook_il_fai_da_te";NA;"camst";NA
"73";26;"8mila";NA;"aboca";NA;"astrazeneca";NA;"avr_spa";NA;"csi_spa";NA
"74";25;"albenga";NA;"alma_spa";NA;"cesvip_lombardia_soccoop";NA;"consorzio_gruppo_la_meridiana";NA;"difa_cooper_spa";NA
"75";24;"10143770963";NA;"4fun_entertainment";NA;"acof";NA;"beauty_&amp_business_spa";NA;"cercasì";NA
"76";23;"agorà_f2f";NA;"albelissa";NA;"andrea";NA;"auta_marocchi_spa";NA;"claps_powered_by_pws";NA
"77";22;"beta_80_spa";NA;"catenon";NA;"colser_servizi";NA;"csa";NA;"delonghi";NA
"78";21;"012) 1380 405_55 406_|_wint511_wdisp900_|_dg 406_54 609 bc_|_54 buosa_vg lav vivaldis_interim_(vg";NA;"adria alpen universität_klagenfurt";NA;"appaltiweb_di_stefano_cimino";NA;"armor_interim_saint_malo";NA;"asti_service";NA
"79";20;"_evo sistem_";NA;"adidas";NA;"agenzia_autorizzata_fastweb";NA;"agenzia_miss_night_club";NA;"alessandro";NA
