"";"Freq";"companyname1";"if_agency1";"companyname2";"if_agency2";"companyname3";"if_agency3";"companyname4";"if_agency4";"companyname5";"if_agency5"
"1";99;"enjoyrsh";NA;"martini";NA;"the_flyer";NA;NA;NA;NA;NA
"2";98;"amplifon";NA;"gruppo_midi";NA;NA;NA;NA;NA;NA;NA
"3";97;"webidoo";NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";96;"auchan";NA;"info_solution_spa";NA;"link_hr";NA;"mistertemp’";NA;NA;NA
"5";95;"ediliziacrobatica_spa";NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";94;"ernst_&_young_global_limited";NA;"euroentertainment";NA;"valori_spa";NA;NA;NA;NA;NA
"7";93;"adami&associati";NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";92;"habitissimo";NA;"us_dept_of_defense";NA;NA;NA;NA;NA;NA;NA
"9";91;"ergongroup";NA;"ricercamy";NA;NA;NA;NA;NA;NA;NA
"10";90;"general_electric";NA;"ibm";NA;NA;NA;NA;NA;NA;NA
"11";89;"avangarde";NA;"badanteassistentisociali";NA;"bofrost_italia_spa";NA;"demar_trading";NA;NA;NA
"12";88;"iama_risorse_umane";NA;"nigel_frank_international";NA;"palma_tour_animazione";NA;"sopran_ciodue_spa";NA;"vivastreet";NA
"13";87;"feres_spa";NA;"frag";NA;NA;NA;NA;NA;NA;NA
"14";86;"fao";NA;"nounou_top";NA;"studio_mantini_sas";NA;NA;NA;NA;NA
"15";84;"fastweb";NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";83;"berendsohn_italiana_spa";NA;"istituto_italiano_di_tecnologia";NA;"yeswenet_spa";NA;NA;NA;NA;NA
"17";82;"miodottoreit_–_gruppo_docplanner";NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";81;"dedalus_italia_spa";NA;"eldor_corporation_spa";NA;"politecnico_di_milano";NA;"progress";NA;NA;NA
"19";80;"pardgroup_spa";NA;"royal_caribbean_international";NA;"salcom";NA;"sirio_animazione";NA;NA;NA
"20";79;"àncora_servizi";NA;"arredissima";NA;"cesvip_lombardia_soc_coop_soc";NA;"h_farm_spa";NA;"overdata_sagl";NA
"21";78;"edison_energia";NA;"ev_group";NA;"professioneanimatore";NA;NA;NA;NA;NA
"22";77;"aldi";NA;"bofrost*_italia_spa";NA;"privato";NA;"recycla";NA;"space";NA
"23";76;"advice_partners";NA;"enjoy_worldwide";NA;"europa_factor_spa";NA;"gamestop_italia";NA;"prix_quality_spa";NA
"24";75;"aurum_assistance";NA;"blueit_spa";NA;"ntt_data";NA;"red_animation";NA;"scuola_agraria_del_parco_di_monza";NA
"25";74;"alcott";NA;"jabil";NA;"netmi";NA;"promec_work_spa";NA;NA;NA
"26";73;"iper_la_grande_i";NA;"starswiss_sa";NA;NA;NA;NA;NA;NA;NA
"27";72;"a2a";NA;"alvin_consulting";NA;"covance";NA;"dierretour_e_professione_vacanze_nel_mondo";NA;"fp_animazione_asd";NA
"28";71;"actl";NA;"al_centro_spa";NA;"dentix";NA;"takko";NA;"unieuro";NA
"29";70;"costa_crociere_spa";NA;"eureka_animazione";NA;"temporis";NA;NA;NA;NA;NA
"30";69;"brt";NA;"kelly_scientific_resources";NA;NA;NA;NA;NA;NA;NA
"31";68;"bluserena_spa";NA;"nessun_nome";NA;"one_network_societa'_a_responsabilita'_limitata";NA;"trade_spa";NA;NA;NA
"32";67;"accessorize";NA;"apinet_snc_di_attura_g_e_prota_c";NA;"axians";NA;"capgemini_italia_spa";NA;"cooperativa_sociale_coopselios_sc";NA
"33";66;"accendi_luce_&_gas";NA;"avanade";NA;"flowserve";NA;"maggioli_spa";NA;"medtronic";NA
"34";65;"_formazione inpef_";NA;"eterea";NA;"gifrab_italia_spa";NA;"intecs_spa";NA;"skyvillage_animazione";NA
"35";64;"dotto_research";NA;"group";NA;NA;NA;NA;NA;NA;NA
"36";63;"abbott";NA;"easyhunters";NA;"engel_&_völkers";NA;"johnson_&_johnson";NA;"lion_marketing";NA
"37";62;"delfino's_equipe";NA;"fendi";NA;"michael_kors";NA;NA;NA;NA;NA
"38";61;"augusta_personaldienstleistungen_gmbh";NA;"baxter";NA;"ediliziacrobatica";NA;"netmi_spa";NA;"unitec_spa";NA
"39";60;"azienda_importante_del_settore";NA;"ente_lombardo_per_la_formazione";NA;"finlinea_spa";NA;"horecapiù";NA;"idata_group";NA
"40";59;"centro_medico_santagostino";NA;"department_of_the_navy";NA;"mm_spa";NA;"negri_&_associati";NA;"number_one";NA
"41";58;"cpl_concordia";NA;"hoel_consulting_sas";NA;"new_gs";NA;"osm_value";NA;"relatech_spa";NA
"42";57;"auto1_group";NA;"daoust_sa";NA;"fercam_spa";NA;"foot_locker";NA;"max_mara";NA
"43";56;"ehr_italy";NA;"emmerre_group";NA;"gruppo_tempocasa";NA;"inforgroup_spa";NA;"ing";NA
"44";55;"auroraenergia";NA;"docplanner";NA;"effegi_animation";NA;"facileit";NA;"translated";NA
"45";54;"continental_ag";NA;"euren_intersearch";NA;"farmapiù";NA;"primark";NA;NA;NA
"46";53;"carusihr_&_co";NA;"civitanavi_systems";NA;"da_vinci_engineering_gmbh";NA;"love_for_work";NA;"mobile_outfitters";NA
"47";52;"crew_entertainment";NA;"energy_sales_consulting";NA;"gesfor";NA;"rina_spa";NA;"segula_technologies";NA
"48";51;"aims_italia";NA;"c​nh_industrial";NA;"kos_group";NA;"nuova_tesi";NA;"oracle";NA
"49";50;"_mercato_centrale human_company_";NA;"arcaplanet";NA;"azienda_privata";NA;"effetto_domino";NA;"mcdonalds_italia";NA
